row_label_raw,row_label_full,col_0,Vốn điều lệ Triệu đồng,Thặng dư vốn cổ phần Triệu đồng,Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,Quỹ dự phòng tài chính Triệu đồng,Quỹ đầu tư phát triển Triệu đồng,Lợi nhuận chưa phân phối Triệu đồng,Cổ phiếu quỹ Triệu đồng,Tổng cộng Triệu đồng,numeric__Vốn điều lệ Triệu đồng,numeric__Thặng dư vốn cổ phần Triệu đồng,numeric__Quỹ dự trữ bổ sung vốn điều lệ Triệu đồng,numeric__Quỹ dự phòng tài chính Triệu đồng,numeric__Quỹ đầu tư phát triển Triệu đồng,numeric__Lợi nhuận chưa phân phối Triệu đồng,numeric__Cổ phiếu quỹ Triệu đồng,numeric__Tổng cộng Triệu đồng
Số dư đầu năm,Số dư đầu năm,Số dư đầu năm,15.706.230,5.866.105,154.694,1.091.310,400.615,2.693.120,-,25.912.074,15706230.0,5866105.0,154694.0,1091310.0,400615.0,2693120.0,,25912074.0
Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,6.914.873,-,6.914.873,,,,,,6914873.0,,6914873.0
Phát hành cổ phiếu từ quỹ dự trữ bổ sung vốn điều lệ và Thặng dư vốn cổ phần,Phát hành cổ phiếu từ quỹ dự trữ bổ sung vốn điều lệ và Thặng dư vốn cổ phần,Phát hành cổ phiếu từ quỹ dự trữ bổ sung vốn điều lệ và Thặng dư vốn cổ phần,4.731.795,(4.577.104),(154.691),-,-,-,-,-,4731795.0,-4577104.0,-154691.0,,,,,
Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,Trả cổ tức cho cổ phần ưu đãi,-,-,-,-,-,(146.439),-,(146.439),,,,,,-146439.0,,-146439.0
Tăng vốn từ lợi nhuận để lại,Tăng vốn từ lợi nhuận để lại,Tăng vốn từ lợi nhuận để lại,4.524.704,-,-,-,-,(4.524.704),-,-,4524704.0,,,,,-4524704.0,,
Trích lập các quỹ,Trích lập các quỹ,Trích lập các quỹ,-,-,202.997,405.993,801.159,(1.410.149),-,-,,,202997.0,405993.0,801159.0,-1410149.0,,
Mua lại cổ phiếu ưu đãi làm cổ phiếu quỹ,Mua lại cổ phiếu ưu đãi làm cổ phiếu quỹ,Mua lại cổ phiếu ưu đãi làm cổ phiếu quỹ,-,-,-,-,-,-,(2.489.232),(2.489.232),,,,,,,-2489232.0,-2489232.0
Phí mua lại cổ phiếu ưu đãi,Phí mua lại cổ phiếu ưu đãi,Phí mua lại cổ phiếu ưu đãi,-,-,-,-,-,-,(2.489),(2.489),,,,,,,-2489.0,-2489.0
Tăng vốn từ phát hành cổ phiếu theo ESOP,Tăng vốn từ phát hành cổ phiếu theo ESOP,Tăng vốn từ phát hành cổ phiếu theo ESOP,336.951,-,-,-,-,-,-,336.951,336951.0,,,,,,,336951.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,25.299.680,1.289.001,203.000,1.497.303,1.201.774,3.526.701,(2.491.721),30.525.738,25299680.0,1289001.0,203000.0,1497303.0,1201774.0,3526701.0,-2491721.0,30525738.0
