row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2019,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2019,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31 tháng 12 năm 2019,Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợTriệu đồng > Tại ngày 31 tháng 12 năm 2019,Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2019,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng)Triệu đồng > Tại ngày 31 tháng 12 năm 2019,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Tài sảnTriệu đồng > Tại ngày 31 tháng 12 năm 2019,numeric__Tổng giá trị ghi số kế toán (theo tỷ giá tại ngày lập báo cáo) > Công nợTriệu đồng > Tại ngày 31 tháng 12 năm 2019,numeric__Giá trị thuầnTriệu đồng > Tại ngày 31 tháng 12 năm 2019
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,47.809.279,47.636.716,(47.616.797),19.919,47809279.0,47636716.0,-47616797.0,19919.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,8.653.712,8.650.955,(8.542.072),108.883,8653712.0,8650955.0,-8542072.0,108883.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,39.155.567,38.985.761,(39.074.725),(88.964),39155567.0,38985761.0,-39074725.0,-88964.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,5.833.526,3.230.448,(3.245.750),(15.302),5833526.0,3230448.0,-3245750.0,-15302.0
,,,53.642.805,50.867.164,(50.862.547),4.617,53642805.0,50867164.0,-50862547.0,4617.0
Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,Tại ngày 31 tháng 12 năm 2018,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,33.328.424,33.198.097,(33.212.303),(14.206),33328424.0,33198097.0,-33212303.0,-14206.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,7.030.491,7.006.722,(6.995.804),10.918,7030491.0,7006722.0,-6995804.0,10918.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2018 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,26.297.933,26.191.375,(26.216.499),(25.124),26297933.0,26191375.0,-26216499.0,-25124.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2018 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,6.282.425,4.308.307,(4.362.545),(54.238),6282425.0,4308307.0,-4362545.0,-54238.0
,,,39.610.849,37.506.404,(37.574.848),(68.444),39610849.0,37506404.0,-37574848.0,-68444.0
