row_label_raw,row_label_full,Tên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,numeric__Nơi thành lập và hoạt động,numeric__Tỷ lệ lợi ích,numeric__Tỷ lệ biểu quyết,numeric__Hoạt động kinh doanh chính
- Công ty TNHH Du lịch D&M,- Công ty TNHH Du lịch D&M,- Công ty TNHH Du lịch D&M,Tỉnh Bình Thuận,"100,00%","100,00%","Dịch vụ nhà nghi, ăn uống",,1.0,1.0,
"- KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd","- KP Apparel Manufacturing Co.,Ltd",Vương quốc Campuchia,"100,00%","100,00%","SX XNK hàng sợi, vải, may mặc..",,1.0,1.0,
- Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,Tỉnh Bình Dương,"100,00%","100,00%","SX, KD sản phẩm từ giấy",,1.0,1.0,
- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,- Công ty CP Thương mại Tổng hợp Thuận An,Tỉnh Bình Dương,"62,68%","62,68%",Kinh doanh thương mại,,0.6268,0.6268,
- Công ty TNHH MTV Quốc Tế Protrade,- Công ty TNHH MTV Quốc Tế Protrade,- Công ty TNHH MTV Quốc Tế Protrade,Tỉnh Bình Dương,"100,00%","100,00%",Kinh doanh hạ tầng Khu công nghiệp,,1.0,1.0,
- Công ty TNHH Sân golf Palm Sông Bé,- Công ty TNHH Sân golf Palm Sông Bé,- Công ty TNHH Sân golf Palm Sông Bé,Tỉnh Bình Dương,"100,00%","100,00%",Kinh doanh sân Golf,,1.0,1.0,
"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty","Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty",Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty CP Cao su Dầu Tiếng Việt Lào,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty CP Cao su Dầu Tiếng Việt Lào",- Công ty CP Cao su Dầu Tiếng Việt Lào,Tỉnh Bình Dương,"40,00%","40,00%","Trồng, khai thác, chế biến mũ cao su",,0.4,0.4,
- Công ty Cổ phần phát triển Phú Mỹ,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty Cổ phần phát triển Phú Mỹ",- Công ty Cổ phần phát triển Phú Mỹ,Tỉnh Bình Dương,"35,00%","35,00%","KD BĐS, kinh doanh sân golf",,0.35,0.35,
- Công ty TNHH FrieslandCampina VN,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty TNHH FrieslandCampina VN",- Công ty TNHH FrieslandCampina VN,Tỉnh Bình Dương,"30,00%","30,00%",Kinh doanh sữa và nước giải khát,,0.3,0.3,
- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc",- Công ty CP Bệnh viện Đa khoa Quốc tế Hạnh Phúc,Tỉnh Bình Dương,"24,00%","24,00%",Dịch vụ y tế,,0.24,0.24,
- Công ty Cổ phần Hưng Vương,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty Cổ phần Hưng Vương",- Công ty Cổ phần Hưng Vương,Tỉnh Bình Dương,"30,90%","30,90%","SXKD SP từ gỗ, KD Hạ tầng KCN",,0.309,0.309,
- Công ty TNHH YCH-PROTRADE,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty TNHH YCH-PROTRADE",- Công ty TNHH YCH-PROTRADE,Tỉnh Bình Dương,"30,00%","30,00%",Kinh doanh dịch vụ Logistic,,0.3,0.3,
- Công ty CP Đầu tư và Phát triển Tân Thành,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty CP Đầu tư và Phát triển Tân Thành",- Công ty CP Đầu tư và Phát triển Tân Thành,Tỉnh Bình Dương,"30,00%","30,00%","KD Bất động sân, KD sân golf",,0.3,0.3,
- Công ty Cổ phần May mặc Bình Dương,"Đầu tư vào Công ty liên doanh, liên kếtThông tin chỉ tiết về các công ty liên doanh, liên kết của Công ty vào ngày 31/12/2017 như sau:Tên Công ty > - Công ty Cổ phần May mặc Bình Dương",- Công ty Cổ phần May mặc Bình Dương,Tỉnh Bình Dương,"48,89%","48,89%",Sản xuất KD hàng may mặc,,0.4889,0.4889,
Đầu tư vào đơn vị khácTên Công ty,Đầu tư vào đơn vị khácTên Công ty,Đầu tư vào đơn vị khácTên Công ty,Nơi thành lập và hoạt động,Tỷ lệ lợi ích,Tỷ lệ biểu quyết,Hoạt động kinh doanh chính,,,,
- Công ty CP Cơ khí vận tải Dầu Tiếng,Đầu tư vào đơn vị khácTên Công ty > - Công ty CP Cơ khí vận tải Dầu Tiếng,- Công ty CP Cơ khí vận tải Dầu Tiếng,Tỉnh Bình Dương,"2,10%","2,10%",Vận chuyển và gia công cơ khí,,0.021,0.021,
