row_label_raw,row_label_full,Các khoản tạm nộp trên số tiền thu trước của HĐKD bất động sản > Thuế TNDN phải nộp đầu năm của HĐKD bất động sản > Thuế TNDN đã nộp trong năm của HĐKD bất động sản > Thuế TNDN phải nộp cuối năm của HĐKD bất động sản,- > 35.199.824.328 > (31.406.498.065) > 15.024.724.328,(1.200.000.000) > - > 35.199.824.328,numeric__- > 35.199.824.328 > (31.406.498.065) > 15.024.724.328,numeric__(1.200.000.000) > - > 35.199.824.328
Tổng Chi phí thuế TNDN hiện hành,Tổng Chi phí thuế TNDN hiện hành,Tổng Chi phí thuế TNDN hiện hành,11.231.398.065,36.399.824.328,11231398065.0,36399824328.0
Tổng thuế TNDN phải nộp cuối năm,Tổng thuế TNDN phải nộp cuối năm,Tổng thuế TNDN phải nộp cuối năm,(16.774.279.006),35.049.281.818,-16774279006.0,35049281818.0
