row_label_raw,row_label_full,Ông Trần Nguyên Vũ > Ông Nguyễn Văn Minh > Ông Trần Nguyên Vũ,Tổng Giám đốc > Phó Tổng Giám đốc,Bổ nhiệm ngày 01/10/2017 > Miễn nhiệm ngày 01/10/2017,numeric__Tổng Giám đốc > Phó Tổng Giám đốc,numeric__Bổ nhiệm ngày 01/10/2017 > Miễn nhiệm ngày 01/10/2017
Ông Huỳnh Công Phát,Ông Huỳnh Công Phát,Ông Huỳnh Công Phát,Phó Tổng Giám đốc,,,
Ông Huỳnh Thanh Hải,Ông Huỳnh Thanh Hải,Ông Huỳnh Thanh Hải,Phó Tổng Giám đốc,,,
Ông Lý Thanh Châu,Ông Lý Thanh Châu,Ông Lý Thanh Châu,Phó Tổng Giám đốc,,,
