row_label_raw,row_label_full,b) Vay dài hạn,b) Vay dài hạn_1,b) Vay dài hạn_2,b) Vay dài hạn_3,b) Vay dài hạn_4,b) Vay dài hạn_5,b) Vay dài hạn_6,b) Vay dài hạn_7,numeric__b) Vay dài hạn_1,numeric__b) Vay dài hạn_2,numeric__b) Vay dài hạn_3,numeric__b) Vay dài hạn_4,numeric__b) Vay dài hạn_5,numeric__b) Vay dài hạn_6,numeric__b) Vay dài hạn_7
,,,Ngân hàng Đầu tư và Phát triển Việt Nam (BIDV) - CN Bình Dương,441.350.000.000,441.350.000.000,106.600.000.000,547.950.000.000,-,-,,441350000000.0,441350000000.0,106600000000.0,547950000000.0,,
,,,Quỹ Đầu tư Phát triển Tinh Bình Dương\( ^{(4)} \),152.631.034.491,152.631.034.491,300.000.000.000,182.631.034.491,270.000.000.000,270.000.000.000,,152631034491.0,152631034491.0,300000000000.0,182631034491.0,270000000000.0,270000000000.0
,,,Công ty Cổ phần May mặc Bình Dương\( ^{(5)} \),57.251.345.014,57.251.345.014,-,11.733.638.000,45.517.707.014,45.517.707.014,,57251345014.0,57251345014.0,,11733638000.0,45517707014.0,45517707014.0
,,,,651.232.379.505,651.232.379.505,406.600.000.000,742.314.672.491,315.517.707.014,315.517.707.014,,651232379505.0,651232379505.0,406600000000.0,742314672491.0,315517707014.0,315517707014.0
,,,Khoản nợ đến hạn trả trong vòng 12 tháng,(163.981.034.491),(163.981.034.491),(283.851.345.014),(252.314.672.491),(195.517.707.014),(195.517.707.014),,-163981034491.0,-163981034491.0,-283851345014.0,-252314672491.0,-195517707014.0,-195517707014.0
,,,Khoản nợ đến hạn trả sau 12 tháng,487.251.345.014,487.251.345.014,,,120.000.000.000,120.000.000.000,,487251345014.0,487251345014.0,,,120000000000.0,120000000000.0
c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,c) Các khoản vay đối với các bên liên quan,,,,,,,
,,,,,Mối quan hệ,31/12/2017,31/12/2017,01/01/2017,01/01/2017,,,,,,,
,,,,,Mối quan hệ,Gốc,Lãi,Gốc,Lãi,,,,,,,
,,,,,Mối quan hệ,VND,VND,VND,VND,,,,,,,
,,,- Văn Phòng Tỉnh Uỷ Bình Dương,,Chủ sở hữu,75.000.000.000,-,75.000.000.000,-,,,,75000000000.0,,75000000000.0,
,,,- Công ty TNHH MTV Chăn nuôi VIFACO,,Công ty con,-,-,5.000.000.000,889.620.747,,,,,,5000000000.0,889620747.0
,,,- Công ty Cổ phần May mặc Bình Dương,,Công ty liên kết,45.517.707.014,-,57.251.345.014,895.468.909,,,,45517707014.0,,57251345014.0,895468909.0
,,,- Công ty TNHH MTV Quốc tế Protrade,,Công ty con,100.000.000.000,427.397.260,-,-,,,,100000000000.0,427397260.0,,
,,,,,,220.517.707.014,427.397.260,137.251.345.014,1.785.089.656,,,,220517707014.0,427397260.0,137251345014.0,1785089656.0
