row_label_raw,row_label_full,- Công ty TNHH MTV Công nghiệp và dịch vụ Thuốc lá Bình Dương,Công ty con,-,1.012.277.778,numeric__Công ty con,numeric__-,numeric__1.012.277.778
- Công ty TNHH MTV Cao su Bến Cát,- Công ty TNHH MTV Cao su Bến Cát,- Công ty TNHH MTV Cao su Bến Cát,Công ty con,-,702.708.359,,,702708359.0
- Công ty TNHH MTV Chăn nuôi Vifaco,- Công ty TNHH MTV Chăn nuôi Vifaco,- Công ty TNHH MTV Chăn nuôi Vifaco,Công ty con,201.111.111,406.666.666,,201111111.0,406666666.0
- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,- Công ty Cổ phần May mặc Bình Dương,Công ty con,3.309.055.065,5.628.524.739,,3309055065.0,5628524739.0
- Văn phòng Tỉnh ủy Bình Dương,- Văn phòng Tỉnh ủy Bình Dương,- Văn phòng Tỉnh ủy Bình Dương,Chủ sở hữu,5.322.916.667,-,,5322916667.0,
- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,- Công ty CP Hưng Vượng,Công ty liên kết,-,-,,,
- Công Ty TNHH MTV Quốc tế Protrade,- Công ty CP Hưng Vượng > - Công Ty TNHH MTV Quốc tế Protrade,- Công Ty TNHH MTV Quốc tế Protrade,Công ty con,427.397.260,-,,427397260.0,
- Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Hưng Vượng > - Công ty CP Đầu tư & Phát triển Tân Thành,- Công ty CP Đầu tư & Phát triển Tân Thành,Công ty liên kết,6.483.030.749,-,,6483030749.0,
- Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty CP Hưng Vượng > - Công ty TNHH MTV Giấy Vĩnh Phú,- Công ty TNHH MTV Giấy Vĩnh Phú,Công ty con,-,614.249.999,,,614249999.0
