row_label_raw,row_label_full,-,Kinh phí công đoàn,numeric__Kinh phí công đoàn
-,-,-,Phần lợi nhuận phải nộp về chủ sở hữu,
-,-,-,Phải trả tiền lãi vay,
+,+,+,Công ty TNHH MTV Chăn nuôi Vifaco,
+,+,+,Công ty TNHH MTV Quốc tế Protrade,
+,+,+,Công ty Cổ phần Mây Mặc Bình Dương,
-,-,-,Phải nộp 10% Ngân sách Đảng,
-,-,-,"Các khoản phải trả, phải nộp khác",
