row_label_raw,row_label_full,Số dư đầu năm > Trích lập dự phòng rủi ro trong năm,Năm 2022 triệu đồng > 44.009 > 24.183,Năm 2021 triệu đồng > 32.969 > 11.040,numeric__Năm 2022 triệu đồng > 44.009 > 24.183,numeric__Năm 2021 triệu đồng > 32.969 > 11.040
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Hoàn nhập dự phòng tài sản có rủi ro tín dụng(Thuyết minh số 34),Trong đó: > Hoàn nhập dự phòng tài sản có rủi ro tín dụng(Thuyết minh số 34),Hoàn nhập dự phòng tài sản có rủi ro tín dụng(Thuyết minh số 34),-,(556),,-556.0
Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 33),Trong đó: > Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 33),Trích lập dự phòng nợ phải thu khó đòi(Thuyết minh số 33),24.183,11.596,24183.0,11596.0
Số dư cuối năm,Trong đó: > Số dư cuối năm,Số dư cuối năm,68.192,44.009,68192.0,44009.0
