row_label_raw,row_label_full,Tại ngày 31 tháng 12 năm 2022,Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày 31 tháng 12 năm 2022,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào triệu đồng > Tại ngày 31 tháng 12 năm 2022,Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra triệu đồng > Tại ngày 31 tháng 12 năm 2022,Giá trị thuần triệu đồng > Tại ngày 31 tháng 12 năm 2022,numeric__Tổng giá trị của hợp đồng (theo tỷ giá ngày hiệu lực hợp đồng) > Tại ngày 31 tháng 12 năm 2022,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền vào triệu đồng > Tại ngày 31 tháng 12 năm 2022,numeric__Tổng giá trị ghi sổ kế toán (theo tỷ giá tại ngày lập báo cáo) > Dòng tiền ra triệu đồng > Tại ngày 31 tháng 12 năm 2022,numeric__Giá trị thuần triệu đồng > Tại ngày 31 tháng 12 năm 2022
Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,100.183.614,98.657.034,(98.559.458),97.576,100183614.0,98657034.0,-98559458.0,97576.0
Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,27.580.241,27.692.826,(27.472.003),220.823,27580241.0,27692826.0,-27472003.0,220823.0
Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,72.603.373,70.964.208,(71.087.455),(123.247),72603373.0,70964208.0,-71087455.0,-123247.0
Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,71.935.456,42.318.992,(42.288.194),30.798,71935456.0,42318992.0,-42288194.0,30798.0
,,,172.119.070,140.976.026,(140.847.652),128.374,172119070.0,140976026.0,-140847652.0,128374.0
Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,Tại ngày 31 tháng 12 năm 2021,,,,
Công cụ tài chính phải sinh tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Công cụ tài chính phải sinh tiền tệ,Công cụ tài chính phải sinh tiền tệ,57.716.736,57.534.139,(57.643.756),(109.617),57716736.0,57534139.0,-57643756.0,-109617.0
Giao dịch kỳ hạn tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Giao dịch kỳ hạn tiền tệ,Giao dịch kỳ hạn tiền tệ,4.226.245,4.217.062,(4.201.864),15.198,4226245.0,4217062.0,-4201864.0,15198.0
Giao dịch hoán đổi tiền tệ,Tại ngày 31 tháng 12 năm 2021 > Giao dịch hoán đổi tiền tệ,Giao dịch hoán đổi tiền tệ,53.490.491,53.317.077,(53.441.892),(124.815),53490491.0,53317077.0,-53441892.0,-124815.0
Công cụ tài chính phải sinh khác,Tại ngày 31 tháng 12 năm 2021 > Công cụ tài chính phải sinh khác,Công cụ tài chính phải sinh khác,60.178.021,52.656.563,(52.425.478),231.085,60178021.0,52656563.0,-52425478.0,231085.0
,,,117.894.757,110.190.702,(110.069.234),121.468,117894757.0,110190702.0,-110069234.0,121468.0
