row_label_raw,row_label_full,col_0,Quyền sử dụng đất triệu đồng,Phần mềm máy vi tính triệu đồng,Tổng cộng triệu đồng,numeric__Quyền sử dụng đất triệu đồng,numeric__Phần mềm máy vi tính triệu đồng,numeric__Tổng cộng triệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,65.127,782.597,847.724,65127.0,782597.0,847724.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,27.697,27.697,,27697.0,27697.0
Tăng khác,Nguyên giá > Tăng khác,Tăng khác,-,74.076,74.076,,74076.0,74076.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,65.127,884.370,949.497,65127.0,884370.0,949497.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,868,571.183,572.051,868.0,571183.0,572051.0
Hao mòn trong năm,Giá trị hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,-,88.562,88.562,,88562.0,88562.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,868,659.745,660.613,868.0,659745.0,660613.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,64.259,211.414,275.673,64259.0,211414.0,275673.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,64.259,224.625,288.884,64259.0,224625.0,288884.0
