row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12năm 2022Triệu đồng,Ngày 31 tháng 12năm 2021Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12năm 2022Triệu đồng,numeric__Ngày 31 tháng 12năm 2021Triệu đồng
Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,Nghĩa vụ tiềm ăn và các cam kết đưa ra,38,508.876.507,415.387.036,38.0,508876507.0,415387036.0
Cam kết bảo lãnh vay vốn,Cam kết bảo lãnh vay vốn,Cam kết bảo lãnh vay vốn,,2.468.421,28.721,,2468421.0,28721.0
Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,Cam kết giao dịch hồi đoái,,148.776.499,107.434.366,,148776499.0,107434366.0
- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,- Cam kết mua ngoại tệ,,1.158.171,520.241,,1158171.0,520241.0
- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,- Cam kết bán ngoại tệ,,786.489,155.144,,786489.0,155144.0
- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,- Cam kết giao dịch hoán đổi,,146.831.839,106.758.981,,146831839.0,106758981.0
Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,Cam kết trong nghiệp vụ L/C,,46.948.724,49.784.582,,46948724.0,49784582.0
Bảo lãnh khác,Bảo lãnh khác,Bảo lãnh khác,,22.209.420,16.818.493,,22209420.0,16818493.0
Các cam kết khác,Các cam kết khác,Các cam kết khác,,288.473.443,241.320.874,,288473443.0,241320874.0
Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,Các khoản mục ngoại bảng khác,,320.515.947,147.410.141,,320515947.0,147410141.0
Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,Lãi cho vay và phí phải thu chưa thu được,39.1,2.763.392,3.316.837,391.0,2763392.0,3316837.0
Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,Nợ khó đòi đã xử lý,39.2,37.333.250,44.382.812,392.0,37333250.0,44382812.0
Tài sản và chứng từ khác,Tài sản và chứng từ khác,Tài sản và chứng từ khác,39.3,280.419.305,99.710.492,393.0,280419305.0,99710492.0
