row_label_raw,row_label_full,Tiền chi cho thanh toán giấy tờ có giá dài hạn có đủ điều kiện tính vào vốn tự có và các khoản vốn vay dài hạn khác,-,(261.960),numeric__-,numeric__(261.960)
Tiền thu bán cổ phiếu quỹ,Tiền thu bán cổ phiếu quỹ,Tiền thu bán cổ phiếu quỹ,300.000,150.000,300000.0,150000.0
Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,Lưu chuyển tiền thuần từ/(sử dụng vào) hoạt động tài chính,300.000,(111.960),300000.0,-111960.0
Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,Lưu chuyển tiền thuần trong năm,7.104.022,33.369.098,7104022.0,33369098.0
Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,Tiền và các khoản tương đương tiền đầu năm,59.526.860,26.157.762,59526860.0,26157762.0
Tiền và các khoản tương đương tiền cuối năm 35,Tiền và các khoản tương đương tiền cuối năm 35,Tiền và các khoản tương đương tiền cuối năm 35,66.630.882,59.526.860,66630882.0,59526860.0
