row_label_raw,row_label_full,col_0,Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động triệu đồng,Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,Giá trị ghi sổ > Cho vay và phải thu triệu đồng,Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,Giá trị ghi sổ > Giá trị hợp lý triệu đồng,numeric__Giá trị ghi sổ > Ghi nhận giá trị hợp lý thông qua kết quả hoạt động triệu đồng,numeric__Giá trị ghi sổ > Giữ đến ngày đáo hạn triệu đồng,numeric__Giá trị ghi sổ > Cho vay và phải thu triệu đồng,numeric__Giá trị ghi sổ > Sẵn sàng để bán triệu đồng,numeric__Giá trị ghi sổ > Tài sản và nợ khác hạch toán theo giá trị phân bổ triệu đồng,numeric__Giá trị ghi sổ > Tổng cộng giá trị ghi sổ triệu đồng,numeric__Giá trị ghi sổ > Giá trị hợp lý triệu đồng
"Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ","Tiền mặt, vàng bạc, đá quỹ",-,-,2.658.493,-,-,2.658.493,2.658.493,,,2658493.0,,,2658493.0,2658493.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,9.387.960,-,-,9.387.960,(*),,,9387960.0,,,9387960.0,
Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,Tiền gửi và cấp tín dụng cho các TCTD khác – gộp,-,-,61.078.623,-,-,61.078.623,(*),,,61078623.0,,,61078623.0,
Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,Các công cụ tài chính phải sinh và tài sản tài chính khác,128.374,-,-,-,-,128.374,(*),128374.0,,,,,128374.0,
Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,Cho vay khách hàng và mua nợ – gộp,-,-,367.143.133,-,-,367.143.133,(*),,,367143133.0,,,367143133.0,
Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,Chứng khoán đầu tư sẵn sàng để bán – gộp,-,-,-,82.718.218,-,82.718.218,(*),,,,82718218.0,,82718218.0,
"Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp","Góp vốn, đầu tư dài hạn – gộp",-,-,-,189.210,-,189.210,(*),,,,189210.0,,189210.0,
Tài sản tài chính khác,Tài sản tài chính khác,Tài sản tài chính khác,1.329.093,-,41.478.550,2.036.014,-,44.843.657,(*),1329093.0,,41478550.0,2036014.0,,44843657.0,
,,,1.457.467,-,481.746.759,84.943.442,-,568.147.668,,1457467.0,,481746759.0,84943442.0,,568147668.0,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,-,-,-,-,1.929.233,1.929.233,(*),,,,,1929233.0,1929233.0,
"Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,-,-,132.745.249,132.745.249,(*),,,,,132745249.0,132745249.0,
Tiền gửi của khách hàng,Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,-,-,307.253.284,307.253.284,(*),,,,,307253284.0,307253284.0,
"Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro","Vốn tài trợ, ủy thác đầu tư tổ chức tín dụng chịu rủi ro",-,-,-,-,47.050,47.050,(*),,,,,47050.0,47050.0,
Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,-,-,36.015.174,36.015.174,(*),,,,,36015174.0,36015174.0,
Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,Các khoản nợ tài chính khác,834.052,-,-,-,10.328.765,11.162.817,(*),834052.0,,,,10328765.0,11162817.0,
,,,834.052,-,-,-,488.318.755,489.152.807,,834052.0,,,,488318755.0,489152807.0,
