row_label_raw,row_label_full,col_0,Ngày 31 tháng 12năm 2022triệu đồng,Ngày 31 tháng 12năm 2021triệu đồng,numeric__Ngày 31 tháng 12năm 2022triệu đồng,numeric__Ngày 31 tháng 12năm 2021triệu đồng
Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,Các khoản phải trả nội bộ,164.738,431.857,164738.0,431857.0
Phải trả nhân viên,Phải trả nhân viên,Phải trả nhân viên,164.738,431.857,164738.0,431857.0
Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,Các khoản phải trả bên ngoài,7.082.934,6.565.273,7082934.0,6565273.0
Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,Doanh thu chờ phân bổ,79.466,40.293,79466.0,40293.0
Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,Các khoản treo chờ chuyển tiền,371.948,357.376,371948.0,357376.0
Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,Thuế và các khoản phải trả ngân sách,,,,
Nhà nước (Thuyết minh số 23),Thuế và các khoản phải trả ngân sách > Nhà nước (Thuyết minh số 23),Nhà nước (Thuyết minh số 23),3.262.832,4.782.918,3262832.0,4782918.0
Phải trả về hoạt động thanh toán,Thuế và các khoản phải trả ngân sách > Phải trả về hoạt động thanh toán,Phải trả về hoạt động thanh toán,2.492.064,850.435,2492064.0,850435.0
Phải trả nhà cung cấp,Thuế và các khoản phải trả ngân sách > Phải trả nhà cung cấp,Phải trả nhà cung cấp,15.701,6.795,15701.0,6795.0
Các khoản phải trả khác,Thuế và các khoản phải trả ngân sách > Các khoản phải trả khác,Các khoản phải trả khác,860.923,527.456,860923.0,527456.0
,,,7.247.672,6.997.130,7247672.0,6997130.0
