row_label_raw,row_label_full,Số đầu năm > Trích lập trong năm (Thuyết minh số 33),Năm 2022 triệu đồng > 21 > 44.220,Năm 2021 triệu đồng > 21 > -,numeric__Năm 2022 triệu đồng > 21 > 44.220,numeric__Năm 2021 triệu đồng > 21 > -
Sử dụng dự phòng để xử lý khoản góp vốn đầu tư dài hạn,Sử dụng dự phòng để xử lý khoản góp vốn đầu tư dài hạn,Sử dụng dự phòng để xử lý khoản góp vốn đầu tư dài hạn,(21),-,-21.0,
Số cuối năm,Số cuối năm,Số cuối năm,44.220,21,44220.0,21.0
