row_label_raw,row_label_full,col_0,Chưa quá hạn triệu đồng,Đã quá hạn và chưa bị giảm giá triệu đồng,Đã quá hạn và đã trích lập dự phòng triệu đồng,Tổng cộng triệu đồng,numeric__Chưa quá hạn triệu đồng,numeric__Đã quá hạn và chưa bị giảm giá triệu đồng,numeric__Đã quá hạn và đã trích lập dự phòng triệu đồng,numeric__Tổng cộng triệu đồng
Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,Tiền gửi và cấp tín dụng cho các TCTD khác,61.078.623,-,-,61.078.623,61078623.0,,,61078623.0
- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,- Tiền gửi tại TCTD khác,53.885.009,-,-,53.885.009,53885009.0,,,53885009.0
- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,- Cấp tín dụng cho các TCTD khác,7.193.614,-,-,7.193.614,7193614.0,,,7193614.0
Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,Cho vay khách hàng và mua nợ,342.321.769,1.920.094,22.901.270,367.143.133,342321769.0,1920094.0,22901270.0,367143133.0
Chứng khoán đầu tư,Chứng khoán đầu tư,Chứng khoán đầu tư,82.718.218,-,-,82.718.218,82718218.0,,,82718218.0
- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,- Chứng khoán đầu tư sẵn sàng để bán,82.718.218,-,-,82.718.218,82718218.0,,,82718218.0
Tài sản Có khác,Tài sản Có khác,Tài sản Có khác,47.834.083,-,104.495,47.938.578,47834083.0,,104495.0,47938578.0
Tổng cộng,Tổng cộng,Tổng cộng,533.952.693,1.920.094,23.005.765,558.878.552,533952693.0,1920094.0,23005765.0,558878552.0
