row_label_raw,row_label_full,col_0,"Nhà cửa,vật kiến trúctriệu đồng",Máy mócthiết bịtriệu đồng,Phương tiệnvận tàitriệu đồng,Thiết bị dụngcụ quản lýtriệu đồng,Tài sản cố địnhkháctriệu đồng,Tổng cộngtriệu đồng,"numeric__Nhà cửa,vật kiến trúctriệu đồng",numeric__Máy mócthiết bịtriệu đồng,numeric__Phương tiệnvận tàitriệu đồng,numeric__Thiết bị dụngcụ quản lýtriệu đồng,numeric__Tài sản cố địnhkháctriệu đồng,numeric__Tổng cộngtriệu đồng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,,
Số dư đầu năm,Nguyên giá > Số dư đầu năm,Số dư đầu năm,971.175,873.888,148.716,132.186,60.581,2.186.546,971175.0,873888.0,148716.0,132186.0,60581.0,2186546.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,-,16.280,32.599,547,-,49.426,,16280.0,32599.0,547.0,,49426.0
Tăng/(giảm) khác,Nguyên giá > Tăng/(giảm) khác,Tăng/(giảm) khác,-,111.761,-,14.544,-,126.305,,111761.0,,14544.0,,126305.0
"Thanh lý, nhượng bán","Nguyên giá > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.966),(7.755),(3.214),(6.012),(20.947),,-3966.0,-7755.0,-3214.0,-6012.0,-20947.0
Số dư cuối năm,Nguyên giá > Số dư cuối năm,Số dư cuối năm,971.175,997.963,173.560,144.063,54.569,2.341.330,971175.0,997963.0,173560.0,144063.0,54569.0,2341330.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,,
Số dư đầu năm,Giá trị hao mòn lũy kế > Số dư đầu năm,Số dư đầu năm,100.094,633.404,106.866,118.588,57.742,1.016.694,100094.0,633404.0,106866.0,118588.0,57742.0,1016694.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,24.678,117.957,14.156,10.475,1.822,169.088,24678.0,117957.0,14156.0,10475.0,1822.0,169088.0
"Thanh lý, nhượng bán","Giá trị hao mòn lũy kế > Thanh lý, nhượng bán","Thanh lý, nhượng bán",-,(3.940),(7.754),(3.200),(5.934),(20.828),,-3940.0,-7754.0,-3200.0,-5934.0,-20828.0
Số dư cuối năm,Giá trị hao mòn lũy kế > Số dư cuối năm,Số dư cuối năm,124.772,747.421,113.268,125.863,53.630,1.164.954,124772.0,747421.0,113268.0,125863.0,53630.0,1164954.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,,
Số dư đầu năm,Giá trị còn lại > Số dư đầu năm,Số dư đầu năm,871.081,240.484,41.850,13.598,2.839,1.169.852,871081.0,240484.0,41850.0,13598.0,2839.0,1169852.0
Số dư cuối năm,Giá trị còn lại > Số dư cuối năm,Số dư cuối năm,846.403,250.542,60.292,18.200,939,1.176.376,846403.0,250542.0,60292.0,18200.0,939.0,1176376.0
