row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022 Triệu đồng,Ngày 31 tháng 12 năm 2021 Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022 Triệu đồng,numeric__Ngày 31 tháng 12 năm 2021 Triệu đồng
TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,TÀI SẢN,,,
"Tiền mặt, vàng bạc, đá quý","TÀI SẢN > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",5,2.658.493,2.345.733,5.0,2658493.0,2345733.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,TÀI SẢN > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,6,9.387.960,10.197.536,6.0,9387960.0,10197536.0
Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (“TCTD”) khác,TÀI SẢN > Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (“TCTD”) khác,Tiền gửi và cấp tín dụng cho các tổ chức tín dụng (“TCTD”) khác,,61.078.623,63.516.754,,61078623.0,63516754.0
Tiền gửi tại các TCTD khác,TÀI SẢN > Tiền gửi tại các TCTD khác,Tiền gửi tại các TCTD khác,7.1,53.885.009,46.741.856,71.0,53885009.0,46741856.0
Cấp tín dụng cho các TCTD khác,TÀI SẢN > Cấp tín dụng cho các TCTD khác,Cấp tín dụng cho các TCTD khác,7.2,7.193.614,16.858.044,72.0,7193614.0,16858044.0
Dự phòng tiền gửi và cấp tín dụng các TCTD khác,TÀI SẢN > Dự phòng tiền gửi và cấp tín dụng các TCTD khác,Dự phòng tiền gửi và cấp tín dụng các TCTD khác,7.3,-,(83.146),73.0,,-83146.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,8,-,6.970.941,8.0,,6970941.0
Chứng khoán kinh doanh,TÀI SẢN > Chứng khoán kinh doanh,Chứng khoán kinh doanh,,-,7.005.061,,,7005061.0
Dự phòng rủi ro chứng khoán kinh doanh,TÀI SẢN > Dự phòng rủi ro chứng khoán kinh doanh,Dự phòng rủi ro chứng khoán kinh doanh,,-,(34.120),,,-34120.0
Các công cụ tài chính phải sinh và các khoản tài sản tài chính khác,TÀI SẢN > Các công cụ tài chính phải sinh và các khoản tài sản tài chính khác,Các công cụ tài chính phải sinh và các khoản tài sản tài chính khác,9,128.374,121.468,9.0,128374.0,121468.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,,356.164.072,275.100.956,,356164072.0,275100956.0
Cho vay khách hàng,TÀI SẢN > Cho vay khách hàng,Cho vay khách hàng,10,361.673.097,279.870.018,10.0,361673097.0,279870018.0
Dự phòng rủi ro cho vay khách hàng,TÀI SẢN > Dự phòng rủi ro cho vay khách hàng,Dự phòng rủi ro cho vay khách hàng,11,(5.509.025),(4.769.062),11.0,-5509025.0,-4769062.0
Hoạt động mua nợ,TÀI SẢN > Hoạt động mua nợ,Hoạt động mua nợ,12,5.429.011,958.690,12.0,5429011.0,958690.0
Mua nợ,TÀI SẢN > Mua nợ,Mua nợ,,5.470.036,965.935,,5470036.0,965935.0
Dự phòng rủi ro hoạt động mua nợ,TÀI SẢN > Dự phòng rủi ro hoạt động mua nợ,Dự phòng rủi ro hoạt động mua nợ,,(41.025),(7.245),,-41025.0,-7245.0
