row_label_raw,row_label_full,col_0,Thuyết minh,Ngày 31 tháng 12 năm 2022Triệu đồng,Ngày 31 tháng 12 năm 2021Triệu đồng,numeric__Thuyết minh,numeric__Ngày 31 tháng 12 năm 2022Triệu đồng,numeric__Ngày 31 tháng 12 năm 2021Triệu đồng
NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,NỘ PHẢI TRẢ,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,NỘ PHẢI TRẢ > Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nước Việt Nam,17,1.929.233,8.454.375,17.0,1929233.0,8454375.0
Tiền gửi và vay Chính phủ và Ngân hàng Nhà nước,NỘ PHẢI TRẢ > Tiền gửi và vay Chính phủ và Ngân hàng Nhà nước,Tiền gửi và vay Chính phủ và Ngân hàng Nhà nước,,1.929.233,8.454.375,,1929233.0,8454375.0
"Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác","NỘ PHẢI TRẢ > Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác","Tiền gửi và vay các tổ chức tài chính (“TCTC”), TCTD khác",,132.745.249,106.955.846,,132745249.0,106955846.0
Tiền gửi của các TCTD khác,NỘ PHẢI TRẢ > Tiền gửi của các TCTD khác,Tiền gửi của các TCTD khác,18.1,57.282.918,47.591.923,181.0,57282918.0,47591923.0
"Vay các TCTC, TCTD khác","NỘ PHẢI TRẢ > Vay các TCTC, TCTD khác","Vay các TCTC, TCTD khác",18.2,75.462.331,59.363.923,182.0,75462331.0,59363923.0
Tiền gửi của khách hàng,NỘ PHẢI TRẢ > Tiền gửi của khách hàng,Tiền gửi của khách hàng,19,307.253.284,239.128.519,19.0,307253284.0,239128519.0
"Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","NỘ PHẢI TRẢ > Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay TCTD chịu rủi ro",20,47.050,103.930,20.0,47050.0,103930.0
Phát hành giấy tờ có giá,NỘ PHẢI TRẢ > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,21,36.015.174,42.609.287,21.0,36015174.0,42609287.0
Các khoản nợ khác,NỘ PHẢI TRẢ > Các khoản nợ khác,Các khoản nợ khác,,14.673.982,11.151.410,,14673982.0,11151410.0
"Các khoản lãi, phí phải trả","NỘ PHẢI TRẢ > Các khoản lãi, phí phải trả","Các khoản lãi, phí phải trả",22.1,7.426.310,4.154.280,221.0,7426310.0,4154280.0
Các khoản phải trả và công nợ khác,NỘ PHẢI TRẢ > Các khoản phải trả và công nợ khác,Các khoản phải trả và công nợ khác,22.2,7.247.672,6.997.130,222.0,7247672.0,6997130.0
TỔNG NỘ PHẢI TRẢ,NỘ PHẢI TRẢ > TỔNG NỘ PHẢI TRẢ,TỔNG NỘ PHẢI TRẢ,,492.663.972,408.403.367,,492663972.0,408403367.0
VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU,,,
Vốn,VỐN CHỦ SỞ HỮU > Vốn,Vốn,,66.550.770,43.373.620,,66550770.0,43373620.0
- Vốn điều lệ,VỐN CHỦ SỞ HỮU > - Vốn điều lệ,- Vốn điều lệ,,67.434.236,45.056.930,,67434236.0,45056930.0
- Thặng dư vốn cổ phần,VỐN CHỦ SỞ HỮU > - Thặng dư vốn cổ phần,- Thặng dư vốn cổ phần,,-,77.202,,,77202.0
- Cổ phiếu quỹ,VỐN CHỦ SỞ HỮU > - Cổ phiếu quỹ,- Cổ phiếu quỹ,,(883.466),(1.760.512),,-883466.0,-1760512.0
Các quỹ của TCTD,VỐN CHỦ SỞ HỮU > Các quỹ của TCTD,Các quỹ của TCTD,,9.056.043,8.053.768,,9056043.0,8053768.0
Lợi nhuận chưa phân phối,VỐN CHỦ SỞ HỮU > Lợi nhuận chưa phân phối,Lợi nhuận chưa phân phối,,19.940.792,24.611.567,,19940792.0,24611567.0
TỔNG VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG VỐN CHỦ SỞ HỮU,TỔNG VỐN CHỦ SỞ HỮU,24,95.547.605,76.038.955,24.0,95547605.0,76038955.0
TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,VỐN CHỦ SỞ HỮU > TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,TỔNG NỘ PHẢI TRẢ VÀ VỐN CHỦ SỞ HỮU,,588.211.577,484.442.322,,588211577.0,484442322.0
