row_label_raw,row_label_full,col_0,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Thời hạn định lại lãi suất,Thời hạn định lại lãi suất_1,Thời hạn định lại lãi suất_2,Thời hạn định lại lãi suất_3,Thời hạn định lại lãi suất_4,Thời hạn định lại lãi suất_5,Tổng cộng triệu đồng,numeric__Quá hạn triệu đồng,numeric__Không chịu lãi triệu đồng,numeric__Thời hạn định lại lãi suất,numeric__Thời hạn định lại lãi suất_1,numeric__Thời hạn định lại lãi suất_2,numeric__Thời hạn định lại lãi suất_3,numeric__Thời hạn định lại lãi suất_4,numeric__Thời hạn định lại lãi suất_5,numeric__Tổng cộng triệu đồng
,,,Quá hạn triệu đồng,Không chịu lãi triệu đồng,Đến 1 tháng triệu đồng,Từ 1 - 3 tháng triệu đồng,Từ 3 - 6 tháng triệu đồng,Từ 6 - 12 tháng triệu đồng,Từ 1 - 5 năm triệu đồng,Trên 5 năm triệu đồng,Tổng cộng triệu đồng,,,,,,,,,
Tài sản,Tài sản,Tài sản,,,,,,,,,,,,,,,,,,
"Tiền mặt, vàng bạc, đá quý","Tài sản > Tiền mặt, vàng bạc, đá quý","Tiền mặt, vàng bạc, đá quý",-,2.658.493,-,-,-,-,-,-,2.658.493,,2658493.0,,,,,,,2658493.0
Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tài sản > Tiền gửi tại Ngân hàng Nhà nước Việt Nam,Tiền gửi tại Ngân hàng Nhà nước Việt Nam,-,-,9.387.960,-,-,-,-,-,9.387.960,,,9387960.0,,,,,,9387960.0
Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tài sản > Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,Tiền gửi và cấp tín dụng cho các TCTD khác - gộp,-,-,42.168.187,15.712.632,2.637.954,559.850,-,-,61.078.623,,,42168187.0,15712632.0,2637954.0,559850.0,,,61078623.0
Các công cụ tài chính phải sinh và các tài sảntài chính khác,Tài sản > Các công cụ tài chính phải sinh và các tài sảntài chính khác,Các công cụ tài chính phải sinh và các tài sảntài chính khác,-,-,(375.121),(9.649.075),917.806,1.978.168,7.256.596,-,128.374,,,-375121.0,-9649075.0,917806.0,1978168.0,7256596.0,,128374.0
Cho vay khách hàng và mua nợ - gộp,Tài sản > Cho vay khách hàng và mua nợ - gộp,Cho vay khách hàng và mua nợ - gộp,5.013.028,-,211.202.794,57.295.804,27.174.035,34.191.261,31.368.524,897.687,367.143.133,5013028.0,,211202794.0,57295804.0,27174035.0,34191261.0,31368524.0,897687.0,367143133.0
Chứng khoán đầu tư - gộp,Tài sản > Chứng khoán đầu tư - gộp,Chứng khoán đầu tư - gộp,-,15.357,10.595.506,18.952.692,7.070.734,6.841.929,13.203.398,26.038.602,82.718.218,,15357.0,10595506.0,18952692.0,7070734.0,6841929.0,13203398.0,26038602.0,82718218.0
"Góp vốn, đầu tư dài hạn - gộp","Tài sản > Góp vốn, đầu tư dài hạn - gộp","Góp vốn, đầu tư dài hạn - gộp",-,21.608.000,-,-,-,-,-,-,21.608.000,,21608000.0,,,,,,,21608000.0
Tài sản cố định,Tài sản > Tài sản cố định,Tài sản cố định,-,1.465.260,-,-,-,-,-,-,1.465.260,,1465260.0,,,,,,,1465260.0
Tài sản Có khác - gộp,Tài sản > Tài sản Có khác - gộp,Tài sản Có khác - gộp,104.495,47.834.083,-,-,-,-,-,-,47.938.578,104495.0,47834083.0,,,,,,,47938578.0
Tổng tài sản,Tài sản > Tổng tài sản,Tổng tài sản,5.117.523,73.581.193,272.979.326,82.312.053,37.800.529,43.571.208,51.828.518,26.936.289,594.126.639,5117523.0,73581193.0,272979326.0,82312053.0,37800529.0,43571208.0,51828518.0,26936289.0,594126639.0
Nợ phải trả,Nợ phải trả,Nợ phải trả,,,,,,,,,,,,,,,,,,
Các khoản nợ Chính phủ và Ngân hàng Nhà nướcViệt Nam,Nợ phải trả > Các khoản nợ Chính phủ và Ngân hàng Nhà nướcViệt Nam,Các khoản nợ Chính phủ và Ngân hàng Nhà nướcViệt Nam,-,-,8.135,1.915.908,5.002,188,-,-,1.929.233,,,8135.0,1915908.0,5002.0,188.0,,,1929233.0
"Tiền gửi và vay các TCTC, TCTD khác","Nợ phải trả > Tiền gửi và vay các TCTC, TCTD khác","Tiền gửi và vay các TCTC, TCTD khác",-,-,68.139.741,29.928.568,29.733.467,4.943.473,-,-,132.745.249,,,68139741.0,29928568.0,29733467.0,4943473.0,,,132745249.0
Tiền gửi của khách hàng,Nợ phải trả > Tiền gửi của khách hàng,Tiền gửi của khách hàng,-,-,108.246.090,53.353.883,93.674.910,41.166.008,10.811.036,1.357,307.253.284,,,108246090.0,53353883.0,93674910.0,41166008.0,10811036.0,1357.0,307253284.0
"Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Nợ phải trả > Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro","Vốn tài trợ, ủy thác đầu tư, cho vay tổ chức tín dụngchịu rủi ro",-,-,38,47.012,-,-,-,-,47.050,,,38.0,47012.0,,,,,47050.0
Phát hành giấy tờ có giá,Nợ phải trả > Phát hành giấy tờ có giá,Phát hành giấy tờ có giá,-,-,20.063,2.121.146,8.007.226,9.799.296,16.067.443,-,36.015.174,,,20063.0,2121146.0,8007226.0,9799296.0,16067443.0,,36015174.0
Các khoản nợ khác,Nợ phải trả > Các khoản nợ khác,Các khoản nợ khác,-,14.673.982,-,-,-,-,-,-,14.673.982,,14673982.0,,,,,,,14673982.0
Tổng nợ phải trả,Nợ phải trả > Tổng nợ phải trả,Tổng nợ phải trả,-,14.673.982,176.414.067,87.366.517,131.420.605,55.908.965,26.878.479,1.357,492.663.972,,14673982.0,176414067.0,87366517.0,131420605.0,55908965.0,26878479.0,1357.0,492663972.0
Mức chênh nhạy cảm với lãi suất nội bảng,Nợ phải trả > Mức chênh nhạy cảm với lãi suất nội bảng,Mức chênh nhạy cảm với lãi suất nội bảng,5.117.523,58.907.211,96.565.259,(5.054.464),(93.620.076),(12.337.757),24.950.039,26.934.932,101.462.667,5117523.0,58907211.0,96565259.0,-5054464.0,-93620076.0,-12337757.0,24950039.0,26934932.0,101462667.0
