row_label_raw,row_label_full,Bên liên quan,Diễn giải,Phải thu/(Phải trả),Phải thu/(Phải trả)_1,numeric__Diễn giải,numeric__Phải thu/(Phải trả),numeric__Phải thu/(Phải trả)_1
Bên liên quan,Bên liên quan,Bên liên quan,Diễn giải,Ngày 31 tháng 12năm 2022triệu đồng,Ngày 31 tháng 12năm 2021triệu đồng,,,
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Tiền gửi không kỳ hạn của công ty con,(956.990),(135.115),,-956990.0,-135115.0
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Tiền gửi có kỳ hạn của công ty con,(7.000.000),(980.000),,-7000000.0,-980000.0
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Dự chỉ lãi tiền gửi của công ty con,(1.818),(68),,-1818.0,-68.0
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Tiền gửi có kỳ hạn tại công ty con,15.800.000,7.840.000,,15800000.0,7840000.0
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Dự thu lãi tiền gửi tại công ty con,136.883,10.697,,136883.0,10697.0
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Mua nợ từ công ty con,4.570.100,-,,4570100.0,
VPB SMBC FC – Công ty con,Bên liên quan > VPB SMBC FC – Công ty con,VPB SMBC FC – Công ty con,Phải thu từ dịch vụ tư vấn và phí khác,-,2.395,,,2395.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Tiền gửi không kỳ hạn của công ty con,(69),(221),,-69.0,-221.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Tiền gửi có kỳ hạn của công ty con,(87.500),(112.500),,-87500.0,-112500.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Dự chỉ lãi tiền gửi của công ty con,(1.012),(985),,-1012.0,-985.0
VPB AMC – Công ty con,Bên liên quan > VPB AMC – Công ty con,VPB AMC – Công ty con,Phải thu liên quan đến tạm ứng,27.226,27.226,,27226.0,27226.0
VPBankS – Công ty con,Bên liên quan > VPBankS – Công ty con,VPBankS – Công ty con,Tiền gửi không kỳ hạn của công ty con,(5.112.980),-,,-5112980.0,
VPBankS – Công ty con,Bên liên quan > VPBankS – Công ty con,VPBankS – Công ty con,Tiền gửi có kỳ hạn của công ty con,(600),-,,-600.0,
VPBankS – Công ty con,Bên liên quan > VPBankS – Công ty con,VPBankS – Công ty con,Dự chỉ lãi tiền gửi của công ty con,(31),-,,-31.0,
OPES – Công ty con,Bên liên quan > OPES – Công ty con,OPES – Công ty con,Tiền gửi không kỳ hạn của công ty con,(6.903),-,,-6903.0,
OPES – Công ty con,Bên liên quan > OPES – Công ty con,OPES – Công ty con,Tiền gửi có kỳ hạn của công ty con,(67.000),-,,-67000.0,
OPES – Công ty con,Bên liên quan > OPES – Công ty con,OPES – Công ty con,Dự chỉ lãi tiền gửi của công ty con,(963),-,,-963.0,
OPES – Công ty con,Bên liên quan > OPES – Công ty con,OPES – Công ty con,Phải thu kinh doanh bảo hiểm và phải thu khác,72.377,-,,72377.0,
"Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Bên liên quan > Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc","Các thành viên Hội đồng Quản trị, Ban Kiểm soát và Ban Tổng Giám đốc",Tiền gửi tại Ngân hàng,(189.229),(64.900),,-189229.0,-64900.0
