row_label_raw,row_label_full,col_0,Năm 2022 triệu đồng,Năm 2021 triệu đồng,numeric__Năm 2022 triệu đồng,numeric__Năm 2021 triệu đồng
Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,Thu nhập từ hoạt động khác,11.187.533,3.540.339,11187533.0,3540339.0
Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,Thu từ các công cụ tài chính phải sinh khác,2.810.204,1.665.828,2810204.0,1665828.0
Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,Thu từ nợ đã xử lý rủi ro,2.138.775,1.495.649,2138775.0,1495649.0
Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,Thu nhập từ thanh lý tài sản cố định,436,1.285,436.0,1285.0
Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,Thu nhập từ thanh lý tài sản khác,16.643,110.514,16643.0,110514.0
Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,Thu từ hoạt động mua bán nợ,340.102,-,340102.0,
Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,Thu từ phạt vi phạm hợp đồng,808,566,808.0,566.0
Thu nhập hỗ trợ và thu nhập khác,Thu nhập hỗ trợ và thu nhập khác,Thu nhập hỗ trợ và thu nhập khác,5.880.565,266.497,5880565.0,266497.0
Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,Chi phí cho hoạt động khác,(1.999.183),(1.770.410),-1999183.0,-1770410.0
Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,Chi về các công cụ tài chính phải sinh khác,(1.912.967),(1.173.454),-1912967.0,-1173454.0
Chi từ thanh lý tài sản khác,Chi từ thanh lý tài sản khác,Chi từ thanh lý tài sản khác,(11.644),(142.435),-11644.0,-142435.0
Chi về mua bán nợ,Chi về mua bán nợ,Chi về mua bán nợ,(21),(574),-21.0,-574.0
Chi khác,Chi khác,Chi khác,(74.551),(453.947),-74551.0,-453947.0
,,,9.188.350,1.769.929,9188350.0,1769929.0
