row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo số kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch thuần điều chỉnh số kế toán trong năm VND,Chênh lệch tăng VND,Chênh lệch giảm VND,numeric__Giá trị mua theo số kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch thuần điều chỉnh số kế toán trong năm VND,numeric__Chênh lệch tăng VND,numeric__Chênh lệch giảm VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,148.079.571,107.537.306,(40.542.265),1.099.654.212,(1.140.196.477),(3.244.779.493),2.104.583.016,148079571.0,107537306.0,-40542265.0,1099654212.0,-1140196477.0,-3244779493.0,2104583016.0
ILB,FVTPL > ILB,ILB,21.686.135,17.365.200,(4.320.935),301.515,(4.622.450),(301.515),(4.320.935),21686135.0,17365200.0,-4320935.0,301515.0,-4622450.0,-301515.0,-4320935.0
VNM,FVTPL > VNM,VNM,5.744.739,5.783.600,38.861,(156.159.253),156.198.114,38.861,156.159.253,5744739.0,5783600.0,38861.0,-156159253.0,156198114.0,38861.0,156159253.0
FPT,FVTPL > FPT,FPT,5.543.741,5.613.700,69.959,(172.642.149),172.712.108,69.959,172.642.149,5543741.0,5613700.0,69959.0,-172642149.0,172712108.0,69959.0,172642149.0
SGC,FVTPL > SGC,SGC,4.504.500,4.641.000,136.500,(1.918.800),2.055.300,136.500,1.918.800,4504500.0,4641000.0,136500.0,-1918800.0,2055300.0,136500.0,1918800.0
SVC,FVTPL > SVC,SVC,5.175.573,4.518.800,(656.773),3.247.000,(3.903.773),(3.247.000),(656.773),5175573.0,4518800.0,-656773.0,3247000.0,-3903773.0,-3247000.0,-656773.0
VSC,FVTPL > VSC,VSC,4.807.763,4.491.800,(315.963),(5.045.791),4.729.828,-,4.729.828,4807763.0,4491800.0,-315963.0,-5045791.0,4729828.0,,4729828.0
ARM,FVTPL > ARM,ARM,3.241.000,4.200.000,959.000,959.000,-,-,-,3241000.0,4200000.0,959000.0,959000.0,,,
MWG,FVTPL > MWG,MWG,5.255.420,3.861.000,(1.394.420),10.651.726,(12.046.146),(10.915.518),(1.130.628),5255420.0,3861000.0,-1394420.0,10651726.0,-12046146.0,-10915518.0,-1130628.0
HHC,FVTPL > HHC,HHC,1.899.917,3.675.000,1.775.083,1.249.800,525.283,525.283,-,1899917.0,3675000.0,1775083.0,1249800.0,525283.0,525283.0,
PNJ,FVTPL > PNJ,PNJ,2.609.130,2.697.000,87.870,542.529,(454.659),(454.659),-,2609130.0,2697000.0,87870.0,542529.0,-454659.0,-454659.0,
Cổ phiếu niêm yết khác,FVTPL > Cổ phiếu niêm yết khác,Cổ phiếu niêm yết khác,87.611.653,50.690.206,(36.921.447),1.418.468.635,(1.455.390.082),(3.230.631.404),1.775.241.322,87611653.0,50690206.0,-36921447.0,1418468635.0,-1455390082.0,-3230631404.0,1775241322.0
Chứng chỉ quỹ chưa niêm yết,FVTPL > Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,100.000.000.000,99.238.588.121,(761.411.879),-,(761.411.879),-,(761.411.879),100000000000.0,99238588121.0,-761411879.0,,-761411879.0,,-761411879.0
Tổng cộng,FVTPL > Tổng cộng,Tổng cộng,100.148.079.571,99.346.125.427,(801.954.144),1.099.654.212,(1.901.608.356),(3.244.779.493),1.343.171.137,100148079571.0,99346125427.0,-801954144.0,1099654212.0,-1901608356.0,-3244779493.0,1343171137.0
