row_label_raw,row_label_full,Danh mục các loại tài sản tài chính,Giá trị mua theo sổ kế toán VND,Giá trị hợp lý VND,Số dư chênh lệch đánh giá lại cuối năm VND,Số dư chênh lệch đánh giá lại đầu năm VND,Chênh lệch giảm lũy kế VND,Chênh lệch tăng lũy kế VND,numeric__Giá trị mua theo sổ kế toán VND,numeric__Giá trị hợp lý VND,numeric__Số dư chênh lệch đánh giá lại cuối năm VND,numeric__Số dư chênh lệch đánh giá lại đầu năm VND,numeric__Chênh lệch giảm lũy kế VND,numeric__Chênh lệch tăng lũy kế VND
Chứng quyền của tổ chức phát hành,Chứng quyền của tổ chức phát hành,Chứng quyền của tổ chức phát hành,-,-,-,(2.693.529.050),(7.335.226.791),996.628,,,,-2693529050.0,-7335226791.0,996628.0
Tổng cộng,Tổng cộng,Tổng cộng,-,-,-,(2.693.529.050),(7.335.226.791),996.628,,,,-2693529050.0,-7335226791.0,996628.0
