row_label_raw,row_label_full,col_0,Vốn góp của chủ sở hữu VND,Cổ phiếu quỹ VND,Quỹ dự trữ bổ sung vốn điều lệ VND,Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,Quỹ khác thuộc vốn chủ sở hữu VND,Lợi nhuận chưa phân phối VND,Tổng cộng VND,numeric__Vốn góp của chủ sở hữu VND,numeric__Cổ phiếu quỹ VND,numeric__Quỹ dự trữ bổ sung vốn điều lệ VND,numeric__Quỹ dự phòng tài chính và rủi ro nghiệp vụ VND,numeric__Quỹ khác thuộc vốn chủ sở hữu VND,numeric__Lợi nhuận chưa phân phối VND,numeric__Tổng cộng VND
Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,Số dư tại ngày 1 tháng 1 năm 2021,1.643.310.840.000,(129.443.300),39.987.506.742,39.977.522.642,1.625.982.305,335.596.064.315,2.060.368.472.704,1643310840000.0,-129443300.0,39987506742.0,39977522642.0,1625982305.0,335596064315.0,2060368472704.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,586.810.651.435,586.810.651.435,,,,,,586810651435.0,586810651435.0
Trích lập quỹ,Trích lập quỹ,Trích lập quỹ,-,-,29.340.532.572,29.340.532.572,-,(58.681.065.144),-,,,29340532572.0,29340532572.0,,-58681065144.0,
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,786.395.880.000,-,-,-,-,-,786.395.880.000,786395880000.0,,,,,,786395880000.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(532.663.500),-,-,-,-,(532.663.500),,-532663500.0,,,,,-532663500.0
Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,246.476.520.000,-,-,-,-,(246.476.520.000),-,246476520000.0,,,,,-246476520000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(21.496.432.531),(21.496.432.531),,,,,,-21496432531.0,-21496432531.0
Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,Số dư tại ngày 31 tháng 12 năm 2021,2.676.183.240.000,(662.106.800),69.328.039.314,69.318.055.214,1.625.982.305,595.752.698.075,3.411.545.908.108,2676183240000.0,-662106800.0,69328039314.0,69318055214.0,1625982305.0,595752698075.0,3411545908108.0
Lợi nhuận sau thuế,Lợi nhuận sau thuế,Lợi nhuận sau thuế,-,-,-,-,-,514.205.653.236,514.205.653.236,,,,,,514205653236.0,514205653236.0
Phát hành cổ phiếu,Phát hành cổ phiếu,Phát hành cổ phiếu,594.580.930.000,-,-,-,-,-,594.580.930.000,594580930000.0,,,,,,594580930000.0
Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,(91.404.800),-,-,-,-,(91.404.800),,-91404800.0,,,,,-91404800.0
Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,Chi trả cổ tức bằng cổ phiếu,535.167.010.000,-,-,-,-,(535.167.010.000),-,535167010000.0,,,,,-535167010000.0,
Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,Trích quỹ khen thưởng phúc lợi,-,-,-,-,-,(35.208.639.087),(35.208.639.087),,,,,,-35208639087.0,-35208639087.0
Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,Số dư tại ngày 31 tháng 12 năm 2022,3.805.931.180.000,(753.511.600),69.328.039.314,69.318.055.214,1.625.982.305,539.582.702.224,4.485.032.447.457,3805931180000.0,-753511600.0,69328039314.0,69318055214.0,1625982305.0,539582702224.0,4485032447457.0
