row_label_raw,row_label_full,col_0,31/12/2022 > Số lượng,31/12/2022 > Giá gốcVND,31/12/2022 > Giá trị thị trườngVND,31/12/2022 > Giá trị dự phòngVND,31/12/2021 > Giá trị dự phòngVND,(Trích lập)/hoànnhập trong kỳVND,numeric__31/12/2022 > Số lượng,numeric__31/12/2022 > Giá gốcVND,numeric__31/12/2022 > Giá trị thị trườngVND,numeric__31/12/2022 > Giá trị dự phòngVND,numeric__31/12/2021 > Giá trị dự phòngVND,numeric__(Trích lập)/hoànnhập trong kỳVND
Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,Tài sản tài chính AFS,,,,,,
Cổ phiếu chưa niêm yết,Tài sản tài chính AFS > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,6.355.517,117.975.345.153,35.392.416.253,(82.583.086.500),(82.583.086.500),-,6355517.0,117975345153.0,35392416253.0,-82583086500.0,-82583086500.0,
CTCP Cảng Tân Cảng Hiệp Phước,Tài sản tài chính AFS > CTCP Cảng Tân Cảng Hiệp Phước,CTCP Cảng Tân Cảng Hiệp Phước,1.710.000,46.768.500.000,17.100.000.000,(29.668.500.000),(29.668.500.000),-,1710000.0,46768500000.0,17100000000.0,-29668500000.0,-29668500000.0,
TCT Công nghệ Năng lượng Đầu khí Việt Nam,Tài sản tài chính AFS > TCT Công nghệ Năng lượng Đầu khí Việt Nam,TCT Công nghệ Năng lượng Đầu khí Việt Nam,2.500.000,30.000.000.000,8.750.000.000,(21.250.000.000),(21.250.000.000),-,2500000.0,30000000000.0,8750000000.0,-21250000000.0,-21250000000.0,
CTCP Chế biến Thủy sản út Xi,Tài sản tài chính AFS > CTCP Chế biến Thủy sản út Xi,CTCP Chế biến Thủy sản út Xi,894.705,26.214.856.500,3.578.820.000,(22.636.036.500),(22.636.036.500),-,894705.0,26214856500.0,3578820000.0,-22636036500.0,-22636036500.0,
CTCP công nghiệp cao su COECCO,Tài sản tài chính AFS > CTCP công nghiệp cao su COECCO,CTCP công nghiệp cao su COECCO,492.000,7.380.000.000,2.952.000.000,(4.428.000.000),(4.428.000.000),-,492000.0,7380000000.0,2952000000.0,-4428000000.0,-4428000000.0,
Công ty cổ phần Viet Lotus,Tài sản tài chính AFS > Công ty cổ phần Viet Lotus,Công ty cổ phần Viet Lotus,457.300,4.573.000.000,2.972.450.000,(1.600.550.000),(1.600.550.000),-,457300.0,4573000000.0,2972450000.0,-1600550000.0,-1600550000.0,
Cổ phiếu chưa niêm yết khác,Tài sản tài chính AFS > Cổ phiếu chưa niêm yết khác,Cổ phiếu chưa niêm yết khác,301.512,3.038.988.653,39.146.253,(3.000.000.000),(3.000.000.000),-,301512.0,3038988653.0,39146253.0,-3000000000.0,-3000000000.0,
Trái phiếu chưa niêm yết,Tài sản tài chính AFS > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,7.061.228,1.172.766.982.585,1.172.766.982.585,-,-,-,7061228.0,1172766982585.0,1172766982585.0,,,
CTCP Tập đoàn Novaland,Tài sản tài chính AFS > CTCP Tập đoàn Novaland,CTCP Tập đoàn Novaland,6.019.738,605.760.385.416,605.760.385.416,-,-,-,6019738.0,605760385416.0,605760385416.0,,,
Công ty Cổ phần Đầu tư Xây dựng Trung Nam,Tài sản tài chính AFS > Công ty Cổ phần Đầu tư Xây dựng Trung Nam,Công ty Cổ phần Đầu tư Xây dựng Trung Nam,1.718,181.265.329.344,181.265.329.344,-,-,-,1718.0,181265329344.0,181265329344.0,,,
CÔNG TY CP DƯỢC PHẨM TENAMYD,Tài sản tài chính AFS > CÔNG TY CP DƯỢC PHẨM TENAMYD,CÔNG TY CP DƯỢC PHẨM TENAMYD,1.500,150.000.000.000,150.000.000.000,-,-,-,1500.0,150000000000.0,150000000000.0,,,
Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,Tài sản tài chính AFS > Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,Ngân hàng Thương mại Cổ phần Đầu tư và Phát triển Việt Nam - Chi nhánh Hà Thành,130,130.000.000.000,130.000.000.000,-,-,-,130.0,130000000000.0,130000000000.0,,,
Tổng Công ty Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),Tài sản tài chính AFS > Tổng Công ty Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),Tổng Công ty Xuất nhập khẩu và Xây dựng Việt Nam (Vinaconex),1.038.142,105.741.267.825,105.741.267.825,-,-,-,1038142.0,105741267825.0,105741267825.0,,,
Tổng cộng,Tài sản tài chính AFS > Tổng cộng,Tổng cộng,13.416.745,1.290.742.327.738,1.208.159.398.838,(82.583.086.500),(82.583.086.500),-,13416745.0,1290742327738.0,1208159398838.0,-82583086500.0,-82583086500.0,
