row_label_raw,row_label_full,Các loại tài sản tài chính,31/12/2021 > Giá mua VND,31/12/2021 > Chênh lệch đánh giá > Chênh lệch tăng VND,31/12/2021 > Chênh lệch đánh giá > Chênh lệch giảm VND,31/12/2021 > Giá trị đánh giá lại VND,numeric__31/12/2021 > Giá mua VND,numeric__31/12/2021 > Chênh lệch đánh giá > Chênh lệch tăng VND,numeric__31/12/2021 > Chênh lệch đánh giá > Chênh lệch giảm VND,numeric__31/12/2021 > Giá trị đánh giá lại VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,92.501.168.787,3.253.840.587,(2.154.186.375),93.600.822.999,92501168787.0,3253840587.0,-2154186375.0,93600822999.0
Trái phiếu niêm yết,FVTPL > Trái phiếu niêm yết,Trái phiếu niêm yết,724.202.987.109,-,-,724.202.987.109,724202987109.0,,,724202987109.0
Trái phiếu chưa niêm yết,FVTPL > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,197.592.000.000,-,-,197.592.000.000,197592000000.0,,,197592000000.0
Chứng chỉ tiền gửi,FVTPL > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,706.952.054.700,-,-,706.952.054.700,706952054700.0,,,706952054700.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu chưa niêm yết,AFS > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,114.949.857.502,157.600,(58.333.086.500),56.616.928.602,114949857502.0,157600.0,-58333086500.0,56616928602.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,-,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,1.839.198.068.098,3.253.998.187,(63.487.272.875),1.778.964.793.410,1839198068098.0,3253998187.0,-63487272875.0,1778964793410.0
