row_label_raw,row_label_full,CHỈ TIÊU,Số dư đầu năm > Ngày 1/1/2021 > VND,Số dư đầu năm > Ngày 1/1/2022 > VND,Số tăng/giảm trong năm > Năm trước > Tăng > VND,Số tăng/giảm trong năm > Năm trước > Giảm > VND,Số tăng/giảm trong năm > Năm nay > Tăng > VND,Số tăng/giảm trong năm > Năm nay > Giảm > VND,Số dư cuối năm > Ngày 31/12/2021 > VND,Số dư cuối năm > Ngày 31/12/2022 > VND,numeric__Số dư đầu năm > Ngày 1/1/2021 > VND,numeric__Số dư đầu năm > Ngày 1/1/2022 > VND,numeric__Số tăng/giảm trong năm > Năm trước > Tăng > VND,numeric__Số tăng/giảm trong năm > Năm trước > Giảm > VND,numeric__Số tăng/giảm trong năm > Năm nay > Tăng > VND,numeric__Số tăng/giảm trong năm > Năm nay > Giảm > VND,numeric__Số dư cuối năm > Ngày 31/12/2021 > VND,numeric__Số dư cuối năm > Ngày 31/12/2022 > VND
A,A,A,1,2,3,4,5,6,7,8,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0
I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U,,,,,,,,,,,,,,,,
1. Vốn đầu tư của chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 1. Vốn đầu tư của chủ sở hữu,1. Vốn đầu tư của chủ sở hữu,1.643.181.396.700,2.675.521.133.200,1.032.339.736.500,-,1.129.656.535.200,-,2.675.521.133.200,3.805.177.668.400,1643181396700.0,2675521133200.0,1032339736500.0,,1129656535200.0,,2675521133200.0,3805177668400.0
1.1. Cổ phiếu phổ thông,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 1.1. Cổ phiếu phổ thông,1.1. Cổ phiếu phổ thông,1.643.310.840.000,2.676.183.240.000,1.032.872.400.000,-,1.129.747.940.000,-,2.676.183.240.000,3.805.931.180.000,1643310840000.0,2676183240000.0,1032872400000.0,,1129747940000.0,,2676183240000.0,3805931180000.0
1.2 Cổ phiếu quỹ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 1.2 Cổ phiếu quỹ,1.2 Cổ phiếu quỹ,(129.443.300),(662.106.800),(532.663.500),-,(91.404.800),-,(662.106.800),(753.511.600),-129443300.0,-662106800.0,-532663500.0,,-91404800.0,,-662106800.0,-753511600.0
3. Quỹ dự trữ bổ sung vốn điều lệ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 3. Quỹ dự trữ bổ sung vốn điều lệ,3. Quỹ dự trữ bổ sung vốn điều lệ,39.987.506.742,69.328.039.314,29.340.532.572,-,-,-,69.328.039.314,69.328.039.314,39987506742.0,69328039314.0,29340532572.0,,,,69328039314.0,69328039314.0
4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,4. Quỹ dự phòng tài chính và rủi ro nghiệp vụ,39.977.522.642,69.318.055.214,29.340.532.572,-,-,-,69.318.055.214,69.318.055.214,39977522642.0,69318055214.0,29340532572.0,,,,69318055214.0,69318055214.0
5. Các Quỹ khác thuộc Vốn chủ sở hữu,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 5. Các Quỹ khác thuộc Vốn chủ sở hữu,5. Các Quỹ khác thuộc Vốn chủ sở hữu,1.625.982.305,1.625.982.305,-,-,-,-,1.625.982.305,1.625.982.305,1625982305.0,1625982305.0,,,,,1625982305.0,1625982305.0
6. Lợi nhuận chưa phân phối,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > 6. Lợi nhuận chưa phân phối,6. Lợi nhuận chưa phân phối,335.596.064.315,595.752.698.075,586.810.651.435,326.654.017.675,521.595.918.656,577.765.914.507,595.752.698.075,539.582.702.224,335596064315.0,595752698075.0,586810651435.0,326654017675.0,521595918656.0,577765914507.0,595752698075.0,539582702224.0
a. Lợi nhuận đã thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > a. Lợi nhuận đã thực hiện,a. Lợi nhuận đã thực hiện,340.448.459.848,590.397.020.344,576.602.578.171,326.654.017.675,521.595.918.656,570.375.649.087,590.397.020.344,541.617.289.913,340448459848.0,590397020344.0,576602578171.0,326654017675.0,521595918656.0,570375649087.0,590397020344.0,541617289913.0
b. Lợi nhuận chưa thực hiện,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > b. Lợi nhuận chưa thực hiện,b. Lợi nhuận chưa thực hiện,(4.852.395.533),5.355.677.731,10.208.073.264,-,-,7.390.265.420,5.355.677.731,(2.034.587.689),-4852395533.0,5355677731.0,10208073264.0,,,7390265420.0,5355677731.0,-2034587689.0
TỔNG CỘNG,I. BIÊN ĐỘNG VỐN CHỦ SỞ HỮ'U > TỔNG CỘNG,TỔNG CỘNG,2.060.368.472.704,3.411.545.908.108,1.677.831.453.079,326.654.017.675,1.651.252.453.856,577.765.914.507,3.411.545.908.108,4.485.032.447.457,2060368472704.0,3411545908108.0,1677831453079.0,326654017675.0,1651252453856.0,577765914507.0,3411545908108.0,4485032447457.0
