row_label_raw,row_label_full,col_0,"Máy móc,thiết bịVND",Phương tiệnvận tảiVND,Thiết bị dụngcụ quản lýVND,Tổng cộngVND,"numeric__Máy móc,thiết bịVND",numeric__Phương tiệnvận tảiVND,numeric__Thiết bị dụngcụ quản lýVND,numeric__Tổng cộngVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,
Ngày 1 tháng 1 năm 2021,Nguyên giá > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,92.416.675.563,7.134.006.999,4.980.292.173,104.530.974.735,92416675563.0,7134006999.0,4980292173.0,104530974735.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,57.986.469.000,-,1.279.826.000,59.266.295.000,57986469000.0,,1279826000.0,59266295000.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(129.390.800),-,(96.486.858),(225.877.658),-129390800.0,,-96486858.0,-225877658.0
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,150.273.753.763,7.134.006.999,6.163.631.315,163.571.392.077,150273753763.0,7134006999.0,6163631315.0,163571392077.0
Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,Khấu hao lũy kế,,,,
Ngày 1 tháng 1 năm 2021,Khấu hao lũy kế > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,61.249.510.060,4.105.989.631,3.566.664.241,68.922.163.932,61249510060.0,4105989631.0,3566664241.0,68922163932.0
Khấu hao trong năm,Khấu hao lũy kế > Khấu hao trong năm,Khấu hao trong năm,12.122.003.274,976.663.272,989.699.212,14.088.365.758,12122003274.0,976663272.0,989699212.0,14088365758.0
Giảm trong năm,Khấu hao lũy kế > Giảm trong năm,Giảm trong năm,(99.771.905),-,(96.486.858),(196.258.763),-99771905.0,,-96486858.0,-196258763.0
Ngày 31 tháng 12 năm 2021,Khấu hao lũy kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,73.271.741.429,5.082.652.903,4.459.876.595,82.814.270.927,73271741429.0,5082652903.0,4459876595.0,82814270927.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,
Ngày 1 tháng 1 năm 2021,Giá trị còn lại > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,31.167.165.503,3.028.017.368,1.413.627.932,35.608.810.803,31167165503.0,3028017368.0,1413627932.0,35608810803.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,77.002.012.334,2.051.354.096,1.703.754.720,80.757.121.150,77002012334.0,2051354096.0,1703754720.0,80757121150.0
