row_label_raw,row_label_full,col_0,Phần mềm máy tínhVND,numeric__Phần mềm máy tínhVND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2022,Nguyên giá > Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,64.740.748.537,64740748537.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,67.310.150.161,67310150161.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(34.838.746.632),-34838746632.0
Ngày 31 tháng 12 năm 2022,Nguyên giá > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,97.212.152.066,97212152066.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2022,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,23.765.546.970,23765546970.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,17.506.624.604,17506624604.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(21.806.210),-21806210.0
Ngày 31 tháng 12 năm 2022,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,41.250.365.364,41250365364.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2022,Giá trị còn lại > Ngày 1 tháng 1 năm 2022,Ngày 1 tháng 1 năm 2022,40.975.201.567,40975201567.0
Ngày 31 tháng 12 năm 2022,Giá trị còn lại > Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,55.961.786.702,55961786702.0
