row_label_raw,row_label_full,col_0,Quá hạnVND,Đến 01 nămVND,Từ 01 – 05 nămVND,Trên 05 nămVND,Tổng cộngVND,numeric__Quá hạnVND,numeric__Đến 01 nămVND,numeric__Từ 01 – 05 nămVND,numeric__Trên 05 nămVND,numeric__Tổng cộngVND
TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,TÀI SẢN TÀI CHÍNH,,,,,
Tiền và các khoản tương đương tiền,TÀI SẢN TÀI CHÍNH > Tiền và các khoản tương đương tiền,Tiền và các khoản tương đương tiền,-,194.935.879.341,-,,194.935.879.341,,194935879341.0,,,194935879341.0
Tải sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),TÀI SẢN TÀI CHÍNH > Tải sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),Tải sản tài chính ghi nhận thông qua lãi/lỗ (FVTPL),-,2.611.500.872.106,-,,2.611.500.872.106,,2611500872106.0,,,2611500872106.0
Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),TÀI SẢN TÀI CHÍNH > Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),Các khoản đầu tư nắm giữ đến ngày đáo hạn (HTM),-,2.218.612.939.025,-,,2.218.612.939.025,,2218612939025.0,,,2218612939025.0
Các khoản cho vay,TÀI SẢN TÀI CHÍNH > Các khoản cho vay,Các khoản cho vay,-,3.759.499.832.736,-,,3.759.499.832.736,,3759499832736.0,,,3759499832736.0
Tải sản tài chính sẵn sàng để bán (AFS),TÀI SẢN TÀI CHÍNH > Tải sản tài chính sẵn sàng để bán (AFS),Tải sản tài chính sẵn sàng để bán (AFS),-,1.389.980.915.859,-,,1.389.980.915.859,,1389980915859.0,,,1389980915859.0
Các khoản phải thu,TÀI SẢN TÀI CHÍNH > Các khoản phải thu,Các khoản phải thu,-,198.527.522.035,-,,198.527.522.035,,198527522035.0,,,198527522035.0
Phải thu các dịch vụ CTCK cung cấp,TÀI SẢN TÀI CHÍNH > Phải thu các dịch vụ CTCK cung cấp,Phải thu các dịch vụ CTCK cung cấp,6.235.758.253,6.294.184.403,-,,12.529.942.656,6235758253.0,6294184403.0,,,12529942656.0
Các khoản phải thu khác,TÀI SẢN TÀI CHÍNH > Các khoản phải thu khác,Các khoản phải thu khác,-,3.520.822.211,-,,3.520.822.211,,3520822211.0,,,3520822211.0
Tải sản ngắn hạn khác,TÀI SẢN TÀI CHÍNH > Tải sản ngắn hạn khác,Tải sản ngắn hạn khác,-,34.540.999.287,-,,34.540.999.287,,34540999287.0,,,34540999287.0
Tải sản cố định,TÀI SẢN TÀI CHÍNH > Tải sản cố định,Tải sản cố định,-,-,191.399.572.741,,191.399.572.741,,,191399572741.0,,191399572741.0
Tiền nộp Quỹ Hỗ trợ thanh toán,TÀI SẢN TÀI CHÍNH > Tiền nộp Quỹ Hỗ trợ thanh toán,Tiền nộp Quỹ Hỗ trợ thanh toán,-,-,-,20.000.000.000,20.000.000.000,,,,20000000000.0,20000000000.0
Tiền nộp Quỹ bù trừ,TÀI SẢN TÀI CHÍNH > Tiền nộp Quỹ bù trừ,Tiền nộp Quỹ bù trừ,-,-,-,10.130.180.734,10.130.180.734,,,,10130180734.0,10130180734.0
"Cảm cố, thế chấp ký quỹ, ký cược dài hạn","TÀI SẢN TÀI CHÍNH > Cảm cố, thế chấp ký quỹ, ký cược dài hạn","Cảm cố, thế chấp ký quỹ, ký cược dài hạn",-,-,85.009.054.579,,85.009.054.579,,,85009054579.0,,85009054579.0
Tổng cộng,TÀI SẢN TÀI CHÍNH > Tổng cộng,Tổng cộng,6.235.758.253,10.417.413.967.003,276.408.627.320,30.130.180.734,10.730.188.533.310,6235758253.0,10417413967003.0,276408627320.0,30130180734.0,10730188533310.0
NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,NỘ TÀI CHÍNH,,,,,
Vay ngắn hạn,NỘ TÀI CHÍNH > Vay ngắn hạn,Vay ngắn hạn,-,5.431.701.897.490,-,-,5.431.701.897.490,,5431701897490.0,,,5431701897490.0
Phải trả hoạt động kinh doanh chứng khoán,NỘ TÀI CHÍNH > Phải trả hoạt động kinh doanh chứng khoán,Phải trả hoạt động kinh doanh chứng khoán,-,12.125.853.104,-,-,12.125.853.104,,12125853104.0,,,12125853104.0
Phải trả người bán ngắn hạn,NỘ TÀI CHÍNH > Phải trả người bán ngắn hạn,Phải trả người bán ngắn hạn,-,30.976.908.715,-,-,30.976.908.715,,30976908715.0,,,30976908715.0
Người mua trả tiền trước ngắn hạn,NỘ TÀI CHÍNH > Người mua trả tiền trước ngắn hạn,Người mua trả tiền trước ngắn hạn,-,2.341.002.000,-,-,2.341.002.000,,2341002000.0,,,2341002000.0
