row_label_raw,row_label_full,col_0,Môi giới và dịch vụ khách hàng VND,Tự doanh VND,Ngân hàng đầu tư VND,Hoạt động khác VND,Tổng cộng VND,numeric__Môi giới và dịch vụ khách hàng VND,numeric__Tự doanh VND,numeric__Ngân hàng đầu tư VND,numeric__Hoạt động khác VND,numeric__Tổng cộng VND
Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,Ngày 31 tháng 12 năm 2022,,,,,
1. Doanh thu hoạt động,Ngày 31 tháng 12 năm 2022 > 1. Doanh thu hoạt động,1. Doanh thu hoạt động,1.508.808.368.216,349.759.541.221,36.015.349.781,83.050.623.735,1.977.633.882.953,1508808368216.0,349759541221.0,36015349781.0,83050623735.0,1977633882953.0
2. Các chi phí trực tiếp,Ngày 31 tháng 12 năm 2022 > 2. Các chi phí trực tiếp,2. Các chi phí trực tiếp,(559.550.294.754),(136.749.930.919),(27.449.138.773),(2.234.264.631),(725.983.629.077),-559550294754.0,-136749930919.0,-27449138773.0,-2234264631.0,-725983629077.0
3. Khẩu hao và các chi phí phân bổ,Ngày 31 tháng 12 năm 2022 > 3. Khẩu hao và các chi phí phân bổ,3. Khẩu hao và các chi phí phân bổ,(450.957.372.459),(104.537.227.539),(10.764.380.585),(24.822.430.634),(591.081.411.218),-450957372459.0,-104537227539.0,-10764380585.0,-24822430634.0,-591081411218.0
Lợi nhuận từ hoạt động kinh doanh trước thuế,Ngày 31 tháng 12 năm 2022 > Lợi nhuận từ hoạt động kinh doanh trước thuế,Lợi nhuận từ hoạt động kinh doanh trước thuế,498.300.701.003,108.472.382.763,(2.198.169.577),55.993.928.470,660.568.842.658,498300701003.0,108472382763.0,-2198169577.0,55993928470.0,660568842658.0
Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,Số dư cuối năm,,,,,
1. Tài sản bộ phận (*),Số dư cuối năm > 1. Tài sản bộ phận (*),1. Tài sản bộ phận (*),3.775.550.597.603,6.418.771.895.947,-,17.341.002.180,10.211.663.495.730,3775550597603.0,6418771895947.0,,17341002180.0,10211663495730.0
2. Tài sản phân bổ (*),Số dư cuối năm > 2. Tài sản phân bổ (*),2. Tài sản phân bổ (*),395.601.492.558,91.705.082.937,9.443.032.282,21.775.429.802,518.525.037.580,395601492558.0,91705082937.0,9443032282.0,21775429802.0,518525037580.0
Tổng tài sản,Số dư cuối năm > Tổng tài sản,Tổng tài sản,4.171.152.090.161,6.510.476.978.884,9.443.032.282,39.116.431.982,10.730.188.533.310,4171152090161.0,6510476978884.0,9443032282.0,39116431982.0,10730188533310.0
3. Nợ phải trả bộ phận,Số dư cuối năm > 3. Nợ phải trả bộ phận,3. Nợ phải trả bộ phận,9.843.917.213,35.599.846.606,-,-,45.443.763.819,9843917213.0,35599846606.0,,,45443763819.0
4. Nợ phân bổ,Số dư cuối năm > 4. Nợ phân bổ,4. Nợ phân bổ,4.662.221.503.826,1.080.757.827.568,111.287.517.854,256.626.628.033,6.110.893.477.282,4662221503826.0,1080757827568.0,111287517854.0,256626628033.0,6110893477282.0
Tổng công nợ,Số dư cuối năm > Tổng công nợ,Tổng công nợ,4.672.065.421.039,1.116.357.674.174,111.287.517.854,256.626.628.033,6.156.337.241.101,4672065421039.0,1116357674174.0,111287517854.0,256626628033.0,6156337241101.0
