row_label_raw,row_label_full,col_0,31/12/2022 > Giá gốc VND,31/12/2022 > Giá trị hợp lý VND,31/12/2021 > Giá gốc VND,31/12/2021 > Giá trị hợp lý VND,numeric__31/12/2022 > Giá gốc VND,numeric__31/12/2022 > Giá trị hợp lý VND,numeric__31/12/2021 > Giá gốc VND,numeric__31/12/2021 > Giá trị hợp lý VND
VNM,VNM,VNM,5.744.739,5.783.600,5.269.324.023,5.121.446.400,5744739.0,5783600.0,5269324023.0,5121446400.0
FPT,FPT,FPT,5.543.741,5.613.700,7.145.602.987,7.056.654.000,5543741.0,5613700.0,7145602987.0,7056654000.0
MWG,MWG,MWG,4.305.192,3.217.500,4.340.792,4.077.000,4305192.0,3217500.0,4340792.0,4077000.0
PNJ,PNJ,PNJ,2.609.130,2.697.000,2.609.130,2.886.000,2609130.0,2697000.0,2609130.0,2886000.0
KDH,KDH,KDH,2.512.698,2.385.000,3.761.691,4.590.000,2512698.0,2385000.0,3761691.0,4590000.0
HPG,HPG,HPG,2.193.881,1.656.000,14.240.998,13.316.800,2193881.0,1656000.0,14240998.0,13316800.0
HDB,HDB,HDB,1.287.107,1.196.250,-,-,1287107.0,1196250.0,,
ACB,ACB,ACB,1.146.329,1.095.000,27.721.797.512,28.942.050.000,1146329.0,1095000.0,27721797512.0,28942050000.0
MSN,MSN,MSN,1.113.840,930.000,1.079.758,1.710.000,1113840.0,930000.0,1079758.0,1710000.0
VPB,VPB,VPB,1.503.634,895.000,2.859.613,1.790.000,1503634.0,895000.0,2859613.0,1790000.0
Tổng cộng,Tổng cộng,Tổng cộng,27.960.291,25.469.050,40.165.616.504,41.148.520.200,27960291.0,25469050.0,40165616504.0,41148520200.0
