row_label_raw,row_label_full,Các loại tài sân tải chính,31/12/2022 > Giá mua VND,31/12/2022 > Chênh lệch đánh giá > Chênh lệch tăng VND,31/12/2022 > Chênh lệch đánh giá > Chênh lệch giảm VND,31/12/2022 > Giá trị đánh giá lại VND,numeric__31/12/2022 > Giá mua VND,numeric__31/12/2022 > Chênh lệch đánh giá > Chênh lệch tăng VND,numeric__31/12/2022 > Chênh lệch đánh giá > Chênh lệch giảm VND,numeric__31/12/2022 > Giá trị đánh giá lại VND
FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,FVTPL,,,,
Cổ phiếu niêm yết,FVTPL > Cổ phiếu niêm yết,Cổ phiếu niêm yết,148.079.571,9.061.093,(49.603.359),107.537.305,148079571.0,9061093.0,-49603359.0,107537305.0
Chứng chỉ tiền gửi,FVTPL > Chứng chỉ tiền gửi,Chứng chỉ tiền gửi,2.611.393.334.800,-,-,2.611.393.334.800,2611393334800.0,,,2611393334800.0
AFS,AFS,AFS,AFS,AFS,AFS,AFS,,,,
Cổ phiếu chưa niêm yết,AFS > Cổ phiếu chưa niêm yết,Cổ phiếu chưa niêm yết,114.972.811.710,157.600,(79.583.086.500),35.389.882.810,114972811710.0,157600.0,-79583086500.0,35389882810.0
Chứng chỉ quỹ chưa niêm yết,AFS > Chứng chỉ quỹ chưa niêm yết,Chứng chỉ quỹ chưa niêm yết,100.000.000.000,-,(761.411.879),99.238.588.121,100000000000.0,,-761411879.0,99238588121.0
Trái phiếu chưa niêm yết,AFS > Trái phiếu chưa niêm yết,Trái phiếu chưa niêm yết,1.172.766.982.585,-,-,1.172.766.982.585,1172766982585.0,,,1172766982585.0
Đầu tư khác,AFS > Đầu tư khác,Đầu tư khác,3.000.000.000,-,(3.000.000.000),-,3000000000.0,,-3000000000.0,
Tổng cộng,AFS > Tổng cộng,Tổng cộng,4.002.281.208.666,9.218.693,(83.394.101.738),3.918.896.325.621,4002281208666.0,9218693.0,-83394101738.0,3918896325621.0
