row_label_raw,row_label_full,col_0,Không quá hạn và không bị suy giảm VND,Quá hạn nhưng không bị suy giảm VND,Quá hạn và bị suy giảm giá trị VND,Tổng cộng VND,numeric__Không quá hạn và không bị suy giảm VND,numeric__Quá hạn nhưng không bị suy giảm VND,numeric__Quá hạn và bị suy giảm giá trị VND,numeric__Tổng cộng VND
Tiền gửi ngân hàng và các khoản tương đương tiền,Tiền gửi ngân hàng và các khoản tương đương tiền,Tiền gửi ngân hàng và các khoản tương đương tiền,194.935.879.341,-,-,194.935.879.341,194935879341.0,,,194935879341.0
Các khoản cho vay,Các khoản cho vay,Các khoản cho vay,3.759.499.832.736,-,-,3.759.499.832.736,3759499832736.0,,,3759499832736.0
Các khoản phải thu,Các khoản phải thu,Các khoản phải thu,6.294.184.403,-,6.235.758.253,12.529.942.656,6294184403.0,,6235758253.0,12529942656.0
Tổng cộng,Tổng cộng,Tổng cộng,3.960.729.896.480,-,6.235.758.253,3.966.965.654.733,3960729896480.0,,6235758253.0,3966965654733.0
