row_label_raw,row_label_full,col_0,Phần mềm máy tính VND,numeric__Phần mềm máy tính VND
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,
Ngày 1 tháng 1 năm 2021,Nguyên giá > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,32.872.301.271,32872301271.0
Mua trong năm,Nguyên giá > Mua trong năm,Mua trong năm,32.078.447.266,32078447266.0
Giảm trong năm,Nguyên giá > Giảm trong năm,Giảm trong năm,(210.000.000),-210000000.0
Ngày 31 tháng 12 năm 2021,Nguyên giá > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,64.740.748.537,64740748537.0
Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,Hao mòn lũy kế,
Ngày 1 tháng 1 năm 2021,Hao mòn lũy kế > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,15.327.793.069,15327793069.0
Hao mòn trong năm,Hao mòn lũy kế > Hao mòn trong năm,Hao mòn trong năm,8.464.097.986,8464097986.0
Giảm trong năm,Hao mòn lũy kế > Giảm trong năm,Giảm trong năm,(26.344.085),-26344085.0
Ngày 31 tháng 12 năm 2021,Hao mòn lũy kế > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,23.765.546.970,23765546970.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,
Ngày 1 tháng 1 năm 2021,Giá trị còn lại > Ngày 1 tháng 1 năm 2021,Ngày 1 tháng 1 năm 2021,17.544.508.202,17544508202.0
Ngày 31 tháng 12 năm 2021,Giá trị còn lại > Ngày 31 tháng 12 năm 2021,Ngày 31 tháng 12 năm 2021,40.975.201.567,40975201567.0
