row_label_raw,row_label_full,Các bên liên quan (Thuyết minh số 28),Số cuối năm > 5.660.685.579.825,VND Số đầu năm > 2.892.316.502.137,numeric__Số cuối năm > 5.660.685.579.825,numeric__VND Số đầu năm > 2.892.316.502.137
Các bên khác,Các bên khác,Các bên khác,1.502.563.419.930,1.083.122.220.681,1502563419930.0,1083122220681.0
Abhay Ispat India Pvt. Ltd,Abhay Ispat India Pvt. Ltd,Abhay Ispat India Pvt. Ltd,184.852.880.289,-,184852880289.0,
Thyssenkrupp Materials Trading Asia Pte. Ltd,Thyssenkrupp Materials Trading Asia Pte. Ltd,Thyssenkrupp Materials Trading Asia Pte. Ltd,156.206.373.060,94.054.987.217,156206373060.0,94054987217.0
Khác,Khác,Khác,1.161.504.166.581,989.067.233.464,1161504166581.0,989067233464.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,7.163.248.999.755,3.975.438.722.818,7163248999755.0,3975438722818.0
Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,Dự phòng phải thu ngắn hạn khó đòi,(4.293.191.565),(4.063.602.565),-4293191565.0,-4063602565.0
GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,GIÁ TRỊ THUÀN,7.158.955.808.190,3.971.375.120.253,7158955808190.0,3971375120253.0
