row_label_raw,row_label_full,col_0,"Nhà xưởng,vật kiến trúc","Máy móc, thiết bị",Phương tiệnvận tải,Thiết bịvăn phòng,Tài sản khác,VNDTổng cộng,"numeric__Nhà xưởng,vật kiến trúc","numeric__Máy móc, thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bịvăn phòng,numeric__Tài sản khác,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,649.108.058.078,3.485.804.694.207,379.532.131.416,32.608.589.505,19.317.249.271,4.566.370.722.477,649108058078.0,3485804694207.0,379532131416.0,32608589505.0,19317249271.0,4566370722477.0
Mua mới trong năm,Nguyên giá: > Mua mới trong năm,Mua mới trong năm,3.683.232.440,105.513.066.378,7.948.267.301,24.269.310.636,242.708.351,141.656.585.106,3683232440.0,105513066378.0,7948267301.0,24269310636.0,242708351.0,141656585106.0
Đầu tư XDCB hoàn thành,Nguyên giá: > Đầu tư XDCB hoàn thành,Đầu tư XDCB hoàn thành,2.853.827.117,271.216.467.210,-,10.042.223.036,-,284.112.517.363,2853827117.0,271216467210.0,,10042223036.0,,284112517363.0
Mua lại TSCĐ thuê tài chính,Nguyên giá: > Mua lại TSCĐ thuê tài chính,Mua lại TSCĐ thuê tài chính,-,13.254.770.658,-,-,-,13.254.770.658,,13254770658.0,,,,13254770658.0
Điều chuyển tải sản qua công ty TNHH,Điều chuyển tải sản qua công ty TNHH,Điều chuyển tải sản qua công ty TNHH,,,,,,,,,,,,
MTV Tôn Hoa sen,Điều chuyển tải sản qua công ty TNHH > MTV Tôn Hoa sen,MTV Tôn Hoa sen,(150.642.102.617),(1.399.347.330.074),-,-,-,(1.549.989.432.691),-150642102617.0,-1399347330074.0,,,,-1549989432691.0
"Thanh lý, nhượng bán","Điều chuyển tải sản qua công ty TNHH > Thanh lý, nhượng bán","Thanh lý, nhượng bán",(7.830.592.579),(86.729.429.820),(80.318.935.519),(19.593.973.032),-,(194.472.930.950),-7830592579.0,-86729429820.0,-80318935519.0,-19593973032.0,,-194472930950.0
Số cuối năm,Điều chuyển tải sản qua công ty TNHH > Số cuối năm,Số cuối năm,497.172.422.439,2.389.712.238.559,307.161.463.198,47.326.150.145,19.559.957.622,3.260.932.231.963,497172422439.0,2389712238559.0,307161463198.0,47326150145.0,19559957622.0,3260932231963.0
Trong đó:Dã khấu hao hết,Điều chuyển tải sản qua công ty TNHH > Trong đó:Dã khấu hao hết,Trong đó:Dã khấu hao hết,62.765.798.554,291.743.247.603,14.835.350.358,832.088.307,5.424.985.811,375.601.470.633,62765798554.0,291743247603.0,14835350358.0,832088307.0,5424985811.0,375601470633.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(255.098.098.606),(1.701.234.349.196),(120.128.393.742),(10.500.357.797),(16.212.524.332),(2.103.173.723.673),-255098098606.0,-1701234349196.0,-120128393742.0,-10500357797.0,-16212524332.0,-2103173723673.0
Khấu hao trong năm,Giá trị khấu hao lũy kế: > Khấu hao trong năm,Khấu hao trong năm,(29.261.121.404),(228.123.396.877),(39.113.243.836),(6.924.854.353),(1.991.195.848),(305.413.812.318),-29261121404.0,-228123396877.0,-39113243836.0,-6924854353.0,-1991195848.0,-305413812318.0
