row_label_raw,row_label_full,col_0,Vốn cổ phần,Thăng dư vốn cổ phần,Cổ phiếu quỹ,Quỹ khác thuộc vốn chủ sở hữu,Lợi nhuận sau thuế chưa phân phối,Tổng cộng,numeric__Vốn cổ phần,numeric__Thăng dư vốn cổ phần,numeric__Cổ phiếu quỹ,numeric__Quỹ khác thuộc vốn chủ sở hữu,numeric__Lợi nhuận sau thuế chưa phân phối,numeric__Tổng cộng
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,3.499.966.830.000,151.583.183.521,-,34.535.741.195,1.618.854.251.238,5.304.940.005.954,3499966830000.0,151583183521.0,,34535741195.0,1618854251238.0,5304940005954.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,505.274.139.165,505.274.139.165,,,,,505274139165.0,505274139165.0
Trả cổ tức bằng cổ phiếu (*),Năm nay > Trả cổ tức bằng cổ phiếu (*),Trả cổ tức bằng cổ phiếu (*),349.936.450.000,-,-,-,(349.936.450.000),-,349936450000.0,,,,-349936450000.0,
Trả cổ tức bằng tiền,Năm nay > Trả cổ tức bằng tiền,Trả cổ tức bằng tiền,-,-,-,-,(349.957.383.000),(349.957.383.000),,,,,-349957383000.0,-349957383000.0
Mua cổ phiếu quỹ,Năm nay > Mua cổ phiếu quỹ,Mua cổ phiếu quỹ,-,-,(1.343.000.000),-,-,(1.343.000.000),,,-1343000000.0,,,-1343000000.0
Trích lập quỹ khen thưởng và phúc lợi,Năm nay > Trích lập quỹ khen thưởng và phúc lợi,Trích lập quỹ khen thưởng và phúc lợi,-,-,-,-,(53.266.556.487),(53.266.556.487),,,,,-53266556487.0,-53266556487.0
Trích lập quỹ khác thuộc vốn chủ sở hữu,Năm nay > Trích lập quỹ khác thuộc vốn chủ sở hữu,Trích lập quỹ khác thuộc vốn chủ sở hữu,-,-,-,47.549.876.048,(47.549.876.048),-,,,,47549876048.0,-47549876048.0,
Sử dụng quỹ khác thuộc vốn chủ sở hữu,Năm nay > Sử dụng quỹ khác thuộc vốn chủ sở hữu,Sử dụng quỹ khác thuộc vốn chủ sở hữu,-,-,-,(21.575.866.687),-,(21.575.866.687),,,,-21575866687.0,,-21575866687.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,3.849.903.280.000,151.583.183.521,(1.343.000.000),60.509.750.556,1.323.418.124.868,5.384.071.338.945,3849903280000.0,151583183521.0,-1343000000.0,60509750556.0,1323418124868.0,5384071338945.0
