row_label_raw,row_label_full,Bên liên quan,Mối quan hệ,Nghiệp vụ,Số cuối năm,VND Số đầu năm,numeric__Mối quan hệ,numeric__Nghiệp vụ,numeric__Số cuối năm,numeric__VND Số đầu năm
Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,Trả trước cho người bán ngắn hạn,,,,
Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội - Bình Định,Trả trước cho người bán ngắn hạn > Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty TNHH Một Thành viên Hoa Sen Nhơn Hội - Bình Định,Công ty con,Bán hàng,141.210.746.400,-,,,141210746400.0,
Công ty TNHH Một Thành viên Hoa Sen Hà Nam,Trả trước cho người bán ngắn hạn > Công ty TNHH Một Thành viên Hoa Sen Hà Nam,Công ty TNHH Một Thành viên Hoa Sen Hà Nam,Công ty con,Trả trước,3.089.692.968,38.705.908.131,,,3089692968.0,38705908131.0
Công ty TNHH Một Thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Trả trước cho người bán ngắn hạn > Công ty TNHH Một Thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty TNHH Một Thành viên Vật liệu Xây dựng Hoa Sen Yên Bái,Công ty con,Trả trước,425.516.000,-,,,425516000.0,
,,,,,144.725.955.368,38.705.908.131,,,144725955368.0,38705908131.0
Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,Phải thu về cho vay ngắn hạn,,,,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Phải thu về cho vay ngắn hạn > Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu Công nghiệp Hoa Sen Du Long,Công ty liên kết,Cho vay,3.660.295.900,-,,,3660295900.0,
Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,Phải thu về cho vay dài hạn,,,,
Công ty Cổ phần Hoa Sen Yên Bái,Phải thu về cho vay dài hạn > Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty con,Cho vay,66.686.721.457,45.663.826.935,,,66686721457.0,45663826935.0
Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Phải thu về cho vay dài hạn > Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty con,Cho vay,-,29.311.140.265,,,,29311140265.0
,,,,,66.686.721.457,74.974.967.200,,,66686721457.0,74974967200.0
Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,Vay ngắn hạn,,,,
Công ty cổ phần Hoa Sen Quy Nhơn,Vay ngắn hạn > Công ty cổ phần Hoa Sen Quy Nhơn,Công ty cổ phần Hoa Sen Quy Nhơn,Công ty liên kết,Vay,53.000.000.000,-,,,53000000000.0,
