row_label_raw,row_label_full,Bên liên quan (Thuyết minh số 28),Số cuối năm > 144.725.955.368,VND Số đầu năm > 38.705.908.131,numeric__Số cuối năm > 144.725.955.368,numeric__VND Số đầu năm > 38.705.908.131
Các bên khác,Các bên khác,Các bên khác,39.432.055.972,165.980.867.636,39432055972.0,165980867636.0
Xí nghiệp Phân phối Khl tháp áp Vũng Tàu,Xí nghiệp Phân phối Khl tháp áp Vũng Tàu,Xí nghiệp Phân phối Khl tháp áp Vũng Tàu,9.189.153.750,11.755.350.255,9189153750.0,11755350255.0
Khác,Khác,Khác,30.242.902.222,154.225.517.381,30242902222.0,154225517381.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,184.158.011.340,204.686.775.767,184158011340.0,204686775767.0
