row_label_raw,row_label_full,Bên liên quan > Công ty TNHH Một Thành viên Hoa Sen Hà Nam,Mối quan hệ > Công ty con,Nghiệp vụ > Mua Hàng > Bán hàng > Hàng bán bị trả lại > Bán tài sản cố định > Góp vốn > Thu tiền cho vay > Cho vay > Thu nhập lãi vay > Cho thuê tài sản > Khác,Năm nay > 848.947.136.769 > 44.779.573.986 > 86.112.315 > 2.904.000.000 > - > 171.000.000 > 486.410.620,VNDNăm trước > 154.761.409.425 > 11.076.398.202 > - > 150.000.000.000 > 64.852.176.516 > 64.869.376.516 > 1.565.011.328 > -,numeric__Mối quan hệ > Công ty con,numeric__Nghiệp vụ > Mua Hàng > Bán hàng > Hàng bán bị trả lại > Bán tài sản cố định > Góp vốn > Thu tiền cho vay > Cho vay > Thu nhập lãi vay > Cho thuê tài sản > Khác,numeric__Năm nay > 848.947.136.769 > 44.779.573.986 > 86.112.315 > 2.904.000.000 > - > 171.000.000 > 486.410.620,numeric__VNDNăm trước > 154.761.409.425 > 11.076.398.202 > - > 150.000.000.000 > 64.852.176.516 > 64.869.376.516 > 1.565.011.328 > -
Công ty Cổ phần Hoa Sen Vân Hội,Công ty Cổ phần Hoa Sen Vân Hội,Công ty Cổ phần Hoa Sen Vân Hội,Công ty con,Rút vốn,2.800.000.000,-,,,2800000000.0,
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty con,Cho vay,84.022.894.522,45.663.826.935,,,84022894522.0,45663826935.0
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty con,Thu tiền cho vay,63.000.000.000,-,,,63000000000.0,
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty con,Thu nhập lãi vay,6.103.354.523,551.616.708,,,6103354523.0,551616708.0
Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty Cổ phần Hoa Sen Yên Bái,Công ty con,Góp vốn,-,78.500.000.000,,,,78500000000.0
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Chuyển nhượng vốn,13.585.000.000,-,,,13585000000.0,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Cho vay,12.160.295.900,-,,,12160295900.0,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Góp vốn,4.500.000.000,24.700.000.000,,,4500000000.0,24700000000.0
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Thu tiền cho vay,4.000.000.000,-,,,4000000000.0,
Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty TNHH Một Thành viên Đầu tư Hạ tầng Khu công nghiệp Hoa Sen Du Long,Công ty liên kết,Lãi vay,335.342.389,-,,,335342389.0,
Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty con,Bán hàng,403.345.547.024,6.005.111.813,,,403345547024.0,6005111813.0
Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty con,Góp vốn,77.281.875.153,100.000.000.000,,,77281875153.0,100000000000.0
Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty TNHH Một Thành viên Hoa Sen Phú Mỹ,Công ty con,Chuyển đổi tiền vay,,,,,,
