row_label_raw,row_label_full,col_0,Số cuối năm,VND Số đầu năm,numeric__Số cuối năm,numeric__VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,75.749.637.153,74.422.775.292,75749637153.0,74422775292.0
Chi phí quảng cáo,Chi phí quảng cáo,Chi phí quảng cáo,26.163.164.737,26.925.691.491,26163164737.0,26925691491.0
"Chi phí thuê mặt bằng, nhà xưởng","Chi phí thuê mặt bằng, nhà xưởng","Chi phí thuê mặt bằng, nhà xưởng",24.362.401.677,19.734.754.783,24362401677.0,19734754783.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",9.308.630.023,11.418.276.450,9308630023.0,11418276450.0
Chi phí tư vấn,Chi phí tư vấn,Chi phí tư vấn,2.765.970.828,5.022.641.070,2765970828.0,5022641070.0
Chi phí bảo hiểm,Chi phí bảo hiểm,Chi phí bảo hiểm,1.679.401.673,1.650.845.702,1679401673.0,1650845702.0
Khác,Khác,Khác,11.470.068.215,9.670.565.796,11470068215.0,9670565796.0
Dài hạn,Dài hạn,Dài hạn,207.352.425.398,216.697.658.464,207352425398.0,216697658464.0
"Chi phí thuê mặt bằng, nhà xưởng","Chi phí thuê mặt bằng, nhà xưởng","Chi phí thuê mặt bằng, nhà xưởng",67.919.903.057,89.433.311.060,67919903057.0,89433311060.0
"Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ","Chi phí công cụ, dụng cụ",57.397.992.492,67.552.199.499,57397992492.0,67552199499.0
Chi phí bằng hiệu quảng cáo,Chi phí bằng hiệu quảng cáo,Chi phí bằng hiệu quảng cáo,47.986.279.155,25.377.730.855,47986279155.0,25377730855.0
Chi phí sửa chữa,Chi phí sửa chữa,Chi phí sửa chữa,23.626.356.355,20.638.965.085,23626356355.0,20638965085.0
Khác,Khác,Khác,10.421.894.339,13.695.451.965,10421894339.0,13695451965.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,283.102.062.551,291.120.433.756,283102062551.0,291120433756.0
