row_label_raw,row_label_full,Mã số > 01 > 02 > 03 > 04 > 05 > 06,CHÍ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao môn Các khoản (hoàn nhập dự phòng) dự phòng Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,"Thuyết minh > 10, 11, 122323",Năm nay > 573.738.094.407322.385.755.534(25.511.932.453)47.305.340.201(486.088.302.864)458.729.805.247,Năm trước > 1.594.807.205.450408.968.204.48218.796.915.5367.111.244.819(572.462.153.161)317.503.841.647,numeric__CHÍ TIÊU > I. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG KINH DOANH Tổng lợi nhuận kế toán trước thuế Điều chỉnh cho các khoản: Khấu hao và hao môn Các khoản (hoàn nhập dự phòng) dự phòng Lỗ chênh lệch tỷ giá hối đoái do đánh giá lại các khoản mục tiền tệ có gốc ngoại tệ Lãi từ hoạt động đầu tư Chi phí lãi vay,"numeric__Thuyết minh > 10, 11, 122323",numeric__Năm nay > 573.738.094.407322.385.755.534(25.511.932.453)47.305.340.201(486.088.302.864)458.729.805.247,numeric__Năm trước > 1.594.807.205.450408.968.204.48218.796.915.5367.111.244.819(572.462.153.161)317.503.841.647
08,08,08,Lợi nhuận từ hoạt động kinh doanh trước thay đổi vốn lưu động,,890.558.760.072(2.360.829.298.260)3.644.342.779.949(2.314.955.937.226)8.018.371.205(457.469.733.777),1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679),,,,
09,09,09,Tăng các khoản phải thu Giảm (tăng) hàng tồn kho (Giảm) tăng các khoản phải trả,,890.558.760.072(2.360.829.298.260)3.644.342.779.949(2.314.955.937.226)8.018.371.205(457.469.733.777),1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679),,,,
10,10,10,Tăng các khoản phải thu Giảm (tăng) hàng tồn kho (Giảm) tăng các khoản phải trả,,890.558.760.072(2.360.829.298.260)3.644.342.779.949(2.314.955.937.226)8.018.371.205(457.469.733.777),1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679),,,,
11,11,11,Tăng các khoản phải thu Giảm (tăng) hàng tồn kho (Giảm) tăng các khoản phải trả,,890.558.760.072(2.360.829.298.260)3.644.342.779.949(2.314.955.937.226)8.018.371.205(457.469.733.777),1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679),,,,
12,12,12,Giảm (tăng) chi phí trả trước,,890.558.760.072(2.360.829.298.260)3.644.342.779.949(2.314.955.937.226)8.018.371.205(457.469.733.777),1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679),,,,
14,14,14,Tiền lãi vay đã trả,,890.558.760.072(2.360.829.298.260)3.644.342.779.949(2.314.955.937.226)8.018.371.205(457.469.733.777),1.774.725.258.773(2.700.787.407.363)(2.268.358.611.679),,,,
15,15,15,Thuế thu nhập doanh nghiệp đã nộp16,,(123.097.749.073)(94.659.631.874),(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),,,,
17,17,17,Tiền chi khác cho hoạt động kinh doanh,,(123.097.749.073)(94.659.631.874),(88.508.540.606)(309.453.183.836)(255.210.120.483)(82.041.727.870),,,,
20,17 > 20,20,Lưu chuyển tiền thuần sử dụng vào hoạt động kinh doanh,,(808.092.438.984),(2.009.650.927.582),,,-808092438984.0,-2009650927582.0
,,,II. LƯU CHUYÊN TIÊN TỪ HOẠT ĐỘNG ĐẦU TỰ,,,,,,,
21,17 > 21,21,Tiền chi mua sắm tài sản cố định,,(267.516.192.217),(605.945.288.394),,,-267516192217.0,-605945288394.0
22,17 > 22,22,Tiền thu do thanh lý tài sản cố định,,164.810.675.146,56.619.348.886,,,164810675146.0,56619348886.0
23,17 > 23,23,"Tiền chi cho vay, mua các công cụ nợ của đơn vị khác",,(297.965.882.761),-,,,-297965882761.0,
24,17 > 24,24,"Tiền thu hồi cho vay, bán lại các công cụ nợ của đơn vị khác",,116.105.320.725,-,,,116105320725.0,
25,17 > 25,25,Tiền chi đầu tư góp vốn vào đơn vị khác,,(181.954.141.602),(635.150.000.000),,,-181954141602.0,-635150000000.0
26,17 > 26,26,Tiền thu hồi đầu tư góp vốn vào đơn vị khác,,156.446.681.583,-,,,156446681583.0,
27,17 > 27,27,Tiền lãi đã nhận21.2,,5.427.688.553,2.943.903.852,,,5427688553.0,2943903852.0
30,17 > 30,30,Lưu chuyển tiền thuần sử dụng vào hoạt động đầu tư,,(304.645.850.573),(1.181.532.035.656),,,-304645850573.0,-1181532035656.0
