row_label_raw,row_label_full,col_0,"Máy móc,thiết bị",Phương tiệnvận tải,Thiết bivăn phòng,VNDTổng cộng,"numeric__Máy móc,thiết bị",numeric__Phương tiệnvận tải,numeric__Thiết bivăn phòng,numeric__VNDTổng cộng
Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,Nguyên giá:,,,,
Số đầu năm,Nguyên giá: > Số đầu năm,Số đầu năm,30.886.346.877,8.133.090.908,-,39.019.437.785,30886346877.0,8133090908.0,,39019437785.0
Thuê mới,Nguyên giá: > Thuê mới,Thuê mới,14.635.857.235,39.910.860.176,18.636.363.636,73.183.081.047,14635857235.0,39910860176.0,18636363636.0,73183081047.0
Mua lại tài sản,Nguyên giá: > Mua lại tài sản,Mua lại tài sản,(13.254.770.658),-,-,(13.254.770.658),-13254770658.0,,,-13254770658.0
Số cuối năm,Nguyên giá: > Số cuối năm,Số cuối năm,32.267.433.454,48.043.951.084,18.636.363.636,98.947.748.174,32267433454.0,48043951084.0,18636363636.0,98947748174.0
Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,Giá trị khấu hao lũy kế:,,,,
Số đầu năm,Giá trị khấu hao lũy kế: > Số đầu năm,Số đầu năm,(11.717.212.453),(2.447.003.952),-,(14.164.216.405),-11717212453.0,-2447003952.0,,-14164216405.0
Khấu hao trongnăm,Giá trị khấu hao lũy kế: > Khấu hao trongnăm,Khấu hao trongnăm,(4.489.751.537),(3.514.602.391),(209.339.975),(8.213.693.903),-4489751537.0,-3514602391.0,-209339975.0,-8213693903.0
Mua lại tài sản,Giá trị khấu hao lũy kế: > Mua lại tài sản,Mua lại tài sản,4.693.380.547,-,-,4.693.380.547,4693380547.0,,,4693380547.0
Số cuối năm,Giá trị khấu hao lũy kế: > Số cuối năm,Số cuối năm,(11.513.583.443),(5.961.606.343),(209.339.975),(17.684.529.761),-11513583443.0,-5961606343.0,-209339975.0,-17684529761.0
Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,Giá trị còn lại:,,,,
Số đầu năm,Giá trị còn lại: > Số đầu năm,Số đầu năm,19.169.134.424,5.686.086.956,-,24.855.221.380,19169134424.0,5686086956.0,,24855221380.0
Số cuối năm,Giá trị còn lại: > Số cuối năm,Số cuối năm,20.753.850.011,42.082.344.741,18.427.023.661,81.263.218.413,20753850011.0,42082344741.0,18427023661.0,81263218413.0
