row_label_raw,row_label_full,col_0,col_1,Số cuối năm,Ngàn VND Số đầu năm,numeric__col_1,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Ngắn hạn,Ngắn hạn,Ngắn hạn,Ngắn hạn,1.130.795.710,3.358.503.373,,1130795710.0,3358503373.0
Phải trả các công ty và cá nhân khác,Phải trả các công ty và cá nhân khác,Phải trả các công ty và cá nhân khác,(i),1.009.733.136,1.779.699.664,,1009733136.0,1779699664.0
Phải trả tiền thuê đất,Phải trả tiền thuê đất,Phải trả tiền thuê đất,,78.988.748,133.957.484,,78988748.0,133957484.0
Phí bảo trì căn hộ,Phí bảo trì căn hộ,Phí bảo trì căn hộ,,9.573.496,24.585.898,,9573496.0,24585898.0
Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,,-,1.282.500.000,,,1282500000.0
Các khoản khác,Các khoản khác,Các khoản khác,,32.500.330,137.760.327,,32500330.0,137760327.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Phải trả ngắn hạn các bên liên quan (TM số 34.2),Trong đó: > Phải trả ngắn hạn các bên liên quan (TM số 34.2),Phải trả ngắn hạn các bên liên quan (TM số 34.2),,202.914.128,2.144.930.519,,202914128.0,2144930519.0
Phải trả ngắn hạn các bên khác,Trong đó: > Phải trả ngắn hạn các bên khác,Phải trả ngắn hạn các bên khác,,927.881.582,1.213.572.854,,927881582.0,1213572854.0
Dài hạn,Trong đó: > Dài hạn,Dài hạn,Dài hạn,980.019.908,937.538.732,,980019908.0,937538732.0
Phải trả hợp đồng hợp tác kinh doanh,Trong đó: > Phải trả hợp đồng hợp tác kinh doanh,Phải trả hợp đồng hợp tác kinh doanh,(ii),835.000.000,550.000.000,,835000000.0,550000000.0
Tiền thuê đất phải trả,Trong đó: > Tiền thuê đất phải trả,Tiền thuê đất phải trả,,109.415.187,135.669.657,,109415187.0,135669657.0
Nhận ký quỹ dài hạn,Trong đó: > Nhận ký quỹ dài hạn,Nhận ký quỹ dài hạn,,-,235.056.332,,,235056332.0
Các khoản khác,Trong đó: > Các khoản khác,Các khoản khác,,35.604.721,16.812.743,,35604721.0,16812743.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,,
Phải trả dài hạn các bên liên quan (TM số 34.2),Trong đó: > Phải trả dài hạn các bên liên quan (TM số 34.2),Phải trả dài hạn các bên liên quan (TM số 34.2),,844.725.774,550.077.566,,844725774.0,550077566.0
Phải trả dài hạn các bên khác,Trong đó: > Phải trả dài hạn các bên khác,Phải trả dài hạn các bên khác,,135.294.134,387.461.166,,135294134.0,387461166.0
TỔNG CỘNG,Trong đó: > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.110.815.618,4.296.042.105,,2110815618.0,4296042105.0
