row_label_raw,row_label_full,"Tổ chức thu xếp phát hành > Công ty Cổ phần Chứng khoán VNDIRECT (""VNDIRECT"")","Trái chủ > Công ty Cổ phần Ô tô Trường Hải (""THACO"")",Số cuối năm (Ngàn VND) > 2.216.880.000,Thời hạn đáo hạn > Ngày 9 tháng 8 năm 2019,"Lãi suất (%/năm) > 0,00","Mục đích > Đầu tư trồng mới cây ăn trái, tái cơ cấu tài chính của Tập đoàn",Tài sản thế chấp > Tín chấp,"Nội dung khác > Vào ngày đáo hạn, tổ chức phát hành sẽ thực hiện việc phát hành cổ phần chuyển đổi và tăng vốn điều lệ tương ứng với số cổ phần chuyển đổi trên với giá chuyển đổi là 10.000 VND/cổ phần. Các cổ phần chuyển đổi sẽ có giá trị ngang bằng với tất cả các cổ phần đang lưu hành khác.","numeric__Trái chủ > Công ty Cổ phần Ô tô Trường Hải (""THACO"")",numeric__Số cuối năm (Ngàn VND) > 2.216.880.000,numeric__Thời hạn đáo hạn > Ngày 9 tháng 8 năm 2019,"numeric__Lãi suất (%/năm) > 0,00","numeric__Mục đích > Đầu tư trồng mới cây ăn trái, tái cơ cấu tài chính của Tập đoàn",numeric__Tài sản thế chấp > Tín chấp,"numeric__Nội dung khác > Vào ngày đáo hạn, tổ chức phát hành sẽ thực hiện việc phát hành cổ phần chuyển đổi và tăng vốn điều lệ tương ứng với số cổ phần chuyển đổi trên với giá chuyển đổi là 10.000 VND/cổ phần. Các cổ phần chuyển đổi sẽ có giá trị ngang bằng với tất cả các cổ phần đang lưu hành khác."
"Công ty Cổ phần Chứng khoán VNDIRECT (""VNDIRECT"")","Công ty Cổ phần Chứng khoán VNDIRECT (""VNDIRECT"")","Công ty Cổ phần Chứng khoán VNDIRECT (""VNDIRECT"")",Trái chủ khác,220.000,,,,,,,220000.0,,,,,
Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,Chi phí phát hành trái phiếu,(252.333),,,,,,,-252333.0,,,,,
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,2.216.847.667,,,,,Ngàn VNDGiá trị,,2216847667.0,,,,,
Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018,,,,,,,
Giá trị vay chuyển đổi,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,Giá trị vay chuyển đổi,2.216.847.667,,,,,,,2216847667.0
Cơ cấu vốn chủ sở hữu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,Cơ cấu vốn chủ sở hữu,105.576.190,,,,,,,105576190.0
Cơ cấu nợ gốc ghi nhận ban đầu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,Cơ cấu nợ gốc ghi nhận ban đầu,2.111.271.477,,,,,,,2111271477.0
Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cho năm tài chính kết thúc ngày 31 tháng 12 năm 2018 > Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,Cộng: Giá trị phân bổ lũy kế phần giá trị chiết khấu,41.941.226,,,,,,,41941226.0
Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,Số đầu năm,-,,,,,,,
Số phân bổ tăng trong năm,Số đầu năm > Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,Số phân bổ tăng trong năm,41.941.226,,,,,,,41941226.0
