row_label_raw,row_label_full,Tổ chức thu xếp phát hành > IBSC,Trái chủ > VPB,Số tiền (Ngàn VND) > 145.268.041 > 344.234.136,"Lãi suất (%/năm) > Bằng lãi suất tiền gửi tiết kiệm bằng VND đối với cá nhân kỳ hạn 12 tháng trả lãi cuối kỳ của VPB được xác định tại ngày xác định LS cộng biên độ 4,00 (2018: 10,50) > 10,50 cho 3 kỳ tính lãi đầu tiên và các kỳ tính lãi tiếp theo bằng tổng lãi suất tiết kiệm 12 tháng trả sau của VPB cộng với biên độ 4,00 (2018: 11,10 - 11,50)",Ngày đáo hạn > Ngày 29 tháng 12 năm 2020 > Từ ngày 27 tháng 3 năm 2019 đến ngày 27 tháng 12 năm 2020,Mục đích > Bổ sung vốn cho các dự án đầu tư và tài cấu trúc nợ vay của Tập đoàn > Tái cơ cấu lại nợ của Tập đoàn,"Tài sản thế chấp (TM số 11, 12, 13 và 14) > 166.345.440 cổ phiếu HNG thuộc sở hữu của Công ty; Dư án 7.376,08 ha cơ đầu của Công ty TNHH MTV Daun Penh Agrico tại xã Chey Ou Dom, Huyện Lymphat, Tĩnh Ratanakiri, Campuchia và 4.700.000 cổ phiếu HAG thuộc sở hữu của Chủ tịch HĐQT. > 166.345.440 cổ phiếu HNG được nắm giữ bởi HAG; và toàn bộ quyền sử dụng đất và tài sản gắn liền trên đất đối với 7.376,08 ha đất tại Huyện Lymphat, Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH MTV Daun Penh Agrico và 4.700.000 cổ phiếu HAG thuộc sở hữu của Chủ tịch HĐQT",numeric__Trái chủ > VPB,numeric__Số tiền (Ngàn VND) > 145.268.041 > 344.234.136,"numeric__Lãi suất (%/năm) > Bằng lãi suất tiền gửi tiết kiệm bằng VND đối với cá nhân kỳ hạn 12 tháng trả lãi cuối kỳ của VPB được xác định tại ngày xác định LS cộng biên độ 4,00 (2018: 10,50) > 10,50 cho 3 kỳ tính lãi đầu tiên và các kỳ tính lãi tiếp theo bằng tổng lãi suất tiết kiệm 12 tháng trả sau của VPB cộng với biên độ 4,00 (2018: 11,10 - 11,50)",numeric__Ngày đáo hạn > Ngày 29 tháng 12 năm 2020 > Từ ngày 27 tháng 3 năm 2019 đến ngày 27 tháng 12 năm 2020,numeric__Mục đích > Bổ sung vốn cho các dự án đầu tư và tài cấu trúc nợ vay của Tập đoàn > Tái cơ cấu lại nợ của Tập đoàn,"numeric__Tài sản thế chấp (TM số 11, 12, 13 và 14) > 166.345.440 cổ phiếu HNG thuộc sở hữu của Công ty; Dư án 7.376,08 ha cơ đầu của Công ty TNHH MTV Daun Penh Agrico tại xã Chey Ou Dom, Huyện Lymphat, Tĩnh Ratanakiri, Campuchia và 4.700.000 cổ phiếu HAG thuộc sở hữu của Chủ tịch HĐQT. > 166.345.440 cổ phiếu HNG được nắm giữ bởi HAG; và toàn bộ quyền sử dụng đất và tài sản gắn liền trên đất đối với 7.376,08 ha đất tại Huyện Lymphat, Tĩnh Ratanakiri, Campuchia thuộc sở hữu của Công ty TNHH MTV Daun Penh Agrico và 4.700.000 cổ phiếu HAG thuộc sở hữu của Chủ tịch HĐQT"
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,489.502.177,,,,,,489502177.0,,,,
Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,Trong đó: Trái phiếu dài hạn đến hạn trả,214.992.913,,,,,,214992913.0,,,,
Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,Trái phiếu dài hạn,274.509.264,,,,,,274509264.0,,,,
