row_label_raw,row_label_full,col_0,Số cuối năm,Ngàn VND > Số đầu năm,numeric__Số cuối năm,numeric__Ngàn VND > Số đầu năm
Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,Phải trả người bán hàng hóa và dịch vụ,463.476.493,581.265.959,463476493.0,581265959.0
Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,Phải trả nhà thầu xây dựng,10.293.479,386.759.864,10293479.0,386759864.0
Phải trả người bán khác,Phải trả người bán khác,Phải trả người bán khác,138.626,2.301.713,138626.0,2301713.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,473.908.598,970.327.536,473908598.0,970327536.0
Trong đó:,Trong đó:,Trong đó:,Trong đó:,Trong đó:,,
Phải trả các bên khác,Trong đó: > Phải trả các bên khác,Phải trả các bên khác,436.058.220,691.265.856,436058220.0,691265856.0
Phải trả các bên liên quan (TM số 34.2),Trong đó: > Phải trả các bên liên quan (TM số 34.2),Phải trả các bên liên quan (TM số 34.2),37.850.378,279.061.680,37850378.0,279061680.0
