row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngân VND Số đầu năm,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngân VND Số đầu năm
Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),Phải trả ngắn hạn khác (TM số 23),,,,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chữ tịch HĐQT,Mượn tiền Nhận góp vốn BCC,136.000.000,-,,,136000000.0,
Ông Đoàn Nguyên Đức,Phải trả ngắn hạn khác (TM số 23) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chữ tịch HĐQT,Mượn tiền Nhận góp vốn BCC,-,240.000.000,,,,240000000.0
Bà Đoàn Thị Nguyên,Phải trả ngắn hạn khác (TM số 23) > Bà Đoàn Thị Nguyên,Bà Đoàn Thị Nguyên,Bên liên quan,Mượn tiền,20.000.000,-,,,20000000.0,
Ông Nguyễn Anh Hòa,Phải trả ngắn hạn khác (TM số 23) > Ông Nguyễn Anh Hòa,Ông Nguyễn Anh Hòa,Bên liên quan,Mượn tiền,15.305.360,-,,,15305360.0,
Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty Cổ phần Xây dựng và Phát triển Nhà Hoàng Anh,Công ty liên kết,Mượn tiền,11.786.058,-,,,11786058.0,
Công ty Cổ phần Lê Me,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty liên quan,Mượn tiền,11.685.000,-,,,11685000.0,
Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu tư Sài Gòn Mê Kông,Công ty liên quan,Cho mượn tạm,6.450.000,6.450.000,,,6450000.0,6450000.0
Công ty Cổ phần Hưng Thắng Lợi Gia Lai (*),Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Hưng Thắng Lợi Gia Lai (*),Công ty Cổ phần Hưng Thắng Lợi Gia Lai (*),Công ty con,Cho mượn tạm Lãi cho vay,-,500.000.00010.120.174,,,,5.000000001012018e+16
Công ty Cổ phần Chăn nuôi Gia Lai,Phải trả ngắn hạn khác (TM số 23) > Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty liên quan,Cho mượn tạm Lãi cho vay,-,250.098.89040.329.333,,,,2.5009889040329332e+16
Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Phải trả ngắn hạn khác (TM số 23) > Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty TNHH Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,Nhận góp vốn BCC Cho mượn tạm,-,150.000.0004.100.000,,,,1500000004100000.0
Ông Dương Thanh Bích,Phải trả ngắn hạn khác (TM số 23) > Ông Dương Thanh Bích,Ông Dương Thanh Bích,Bên liên quan,Nhận góp vốn BCC,-,150.000.000,,,,150000000.0
Ông Nguyễn Ngọc Mai,Phải trả ngắn hạn khác (TM số 23) > Ông Nguyễn Ngọc Mai,Ông Nguyễn Ngọc Mai,Bên liên quan,Nhận góp vốn BCC,-,140.000.000,,,,140000000.0
Ông Nguyễn Thương Trung,Phải trả ngắn hạn khác (TM số 23) > Ông Nguyễn Thương Trung,Ông Nguyễn Thương Trung,Bên liên quan,Nhận góp vốn BCC,-,137.000.000,,,,137000000.0
Ông Thủy Ngọc Dũng,Phải trả ngắn hạn khác (TM số 23) > Ông Thủy Ngọc Dũng,Ông Thủy Ngọc Dũng,Bên liên quan,Nhận góp vốn BCC,-,135.000.000,,,,135000000.0
Bà Nguyễn Thị Hồng Luyến,Phải trả ngắn hạn khác (TM số 23) > Bà Nguyễn Thị Hồng Luyến,Bà Nguyễn Thị Hồng Luyến,Bên liên quan,Nhận góp vốn BCC,-,115.000.000,,,,115000000.0
Ông Trần Quang Dũng,Phải trả ngắn hạn khác (TM số 23) > Ông Trần Quang Dũng,Ông Trần Quang Dũng,Bên liên quan,Nhận góp vốn BCC,-,110.000.000,,,,110000000.0
