row_label_raw,row_label_full,col_0,Năm nay,Ngân VNDNăm trước,numeric__Năm nay,numeric__Ngân VNDNăm trước
Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,Chi phí bán hàng,,
Chi phí dịch vụ mua ngoài,Chi phí bán hàng > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,152.008.417,101.156.821,152008417.0,101156821.0
Chi phí lương nhân viên,Chi phí bán hàng > Chi phí lương nhân viên,Chi phí lương nhân viên,22.660.977,27.962.791,22660977.0,27962791.0
Chi phí khấu hao và hao mòn,Chi phí bán hàng > Chi phí khấu hao và hao mòn,Chi phí khấu hao và hao mòn,1.794.026,3.456.575,1794026.0,3456575.0
Chi phí khác,Chi phí bán hàng > Chi phí khác,Chi phí khác,15.982.795,11.346.935,15982795.0,11346935.0
TỔNG CỘNG,Chi phí bán hàng > TỔNG CỘNG,TỔNG CỘNG,192.446.215,143.923.122,192446215.0,143923122.0
Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,Chi phí quản lý doanh nghiệp,,
Phân bổ lợi thế thương mại,Chi phí quản lý doanh nghiệp > Phân bổ lợi thế thương mại,Phân bổ lợi thế thương mại,390.318.070,319.598.039,390318070.0,319598039.0
Chi phí lương nhân viên,Chi phí quản lý doanh nghiệp > Chi phí lương nhân viên,Chi phí lương nhân viên,144.510.009,182.156.078,144510009.0,182156078.0
Chi phí dịch vụ mua ngoài,Chi phí quản lý doanh nghiệp > Chi phí dịch vụ mua ngoài,Chi phí dịch vụ mua ngoài,44.248.405,76.519.841,44248405.0,76519841.0
Chi phí khấu hao,Chi phí quản lý doanh nghiệp > Chi phí khấu hao,Chi phí khấu hao,34.318.490,35.605.584,34318490.0,35605584.0
Chi phí dự phòng,Chi phí quản lý doanh nghiệp > Chi phí dự phòng,Chi phí dự phòng,21.272.492,8.620.401,21272492.0,8620401.0
Chi phí khác,Chi phí quản lý doanh nghiệp > Chi phí khác,Chi phí khác,354.668.623,85.048.386,354668623.0,85048386.0
TỔNG CỘNG,Chi phí quản lý doanh nghiệp > TỔNG CỘNG,TỔNG CỘNG,989.336.089,707.548.329,989336089.0,707548329.0
