row_label_raw,row_label_full,Nhóm An Phú,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Lãi cho vay Phải thu BCC,146.857.511-,260.327.064 125.750.980,,,
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Lãi cho vay,43.040.917,9.543.750,,43040917.0,9543750.0
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Lãi cho vay,32.468.560,12.522.211,,32468560.0,12522211.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Lãi cho vay,29.098.785,-,,29098785.0,
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Lãi cho vay,26.861.748,-,,26861748.0,
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Lãi cho vay,26.168.409,20.488.121,,26168409.0,20488121.0
Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Lãi cho vay,17.975.000,12.905.556,,17975000.0,12905556.0
Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Công ty Cổ phần Gõ Hoàng Anh Gia Lai,Lãi cho vay,6.520.743,31.061.435,,6520743.0,31061435.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Lãi cho vay,-,161.975.432,,,161975432.0
Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Cho mượn,-,4.099.189,,,4099189.0
Công ty TNHH An Tiến,Công ty Cổ phần Chăn nuôi Gia Lai > Công ty TNHH An Tiến,Công ty TNHH An Tiến,Cho mượn,-,1.246.857,,,1246857.0
TỔNG CỘNG,Công ty Cổ phần Chăn nuôi Gia Lai > TỔNG CỘNG,TỔNG CỘNG,,328.991.673,639.920.595,,328991673.0,639920595.0
