row_label_raw,row_label_full,(1),"Công ty Cổ phần Thủy điện Hoàng AnhGia Lai (""DHA"")","Gia Lai, Việt Nam",Đang hoạt động,"99,40","numeric__Công ty Cổ phần Thủy điện Hoàng AnhGia Lai (""DHA"")","numeric__Gia Lai, Việt Nam",numeric__Đang hoạt động,"numeric__99,40"
(2),(2),(2),"Công ty TNHH Điện Hoàng AnhAttapeu (""NK2"")","Viêng Chăn, Lào",Chờ thanh lý,"99,40",,,,99.4
(3),(3),(3),"Công ty TNHH Điện Nậm Kông 3 (""NK3"")","Attapeu, Lào",Chờ thanh lý,"99,40",,,,99.4
(4),(4),(4),Công ty Cổ phần Thủy điện Hoàng AnhSài Gòn,"Hồ Chí Minh, Việt Nam",Trước hoạt động,"99,00",,,,99.0
