row_label_raw,row_label_full,Nhóm An Phú (**),Các công ty liên quan,(**),6.095.915.457,7.435.714.993,numeric__Các công ty liên quan,numeric__(**),numeric__6.095.915.457,numeric__7.435.714.993
Công ty Cổ phần Dịch vụ Nông nghiệp Tây Nguyên,Công ty Cổ phần Dịch vụ Nông nghiệp Tây Nguyên,Công ty Cổ phần Dịch vụ Nông nghiệp Tây Nguyên,Công ty liên quan,"12,00",22.895.434,-,,12.0,22895434.0,
Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty Cổ phần IAPACCO,Công ty liên quan,"0,00",6.123.820,-,,0.0,6123820.0,
Công ty Cổ phần Đầu tư Việt May,Công ty Cổ phần Đầu tư Việt May,Công ty Cổ phần Đầu tư Việt May,Công ty liên quan,"10,00",5.590.000,-,,10.0,5590000.0,
Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (*),Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (*),Công ty TNHH MTV Phát triển Nông nghiệp Đại Thắng (*),Công ty con,-,-,54.052.853,,,,54052853.0
Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Hoàng Anh Ban Mê,Công ty Cổ phần Hoàng Anh Ban Mê,Công ty liên quan,-,-,23.193.100,,,,23193100.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,,6.130.524.711,7.512.960.946,,,6130524711.0,7512960946.0
