row_label_raw,row_label_full,col_0,Vốn cổ phần,Thặng dư vốn cổ phần,Cổ phiếuquỹ,Chênh lệch tỷ giá hối đoái,Quỹ đầu tư phát triển,Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),Ngàn VNDTổng cộng,numeric__Vốn cổ phần,numeric__Thặng dư vốn cổ phần,numeric__Cổ phiếuquỹ,numeric__Chênh lệch tỷ giá hối đoái,numeric__Quỹ đầu tư phát triển,numeric__Lợi nhuận sau thuế chưa phân phối (lỗ lũy kế),numeric__Ngàn VNDTổng cộng
Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,Năm trước,,,,,,,
Số đầu năm,Năm trước > Số đầu năm,Số đầu năm,7.899.679.470,3.539.078.784,(686.640),625.918.808,279.895.303,952.700.191,13.296.585.916,7899679470.0,3539078784.0,-686640.0,625918808.0,279895303.0,952700191.0,13296585916.0
Phát hành cổ phần phổ thông để chuyển đổi trái phiếu,Năm trước > Phát hành cổ phần phổ thông để chuyển đổi trái phiếu,Phát hành cổ phần phổ thông để chuyển đổi trái phiếu,1.375.000.000,(275.220.000),-,-,-,-,1.099.780.000,1375000000.0,-275220000.0,,,,,1099780000.0
Lợi nhuận thuần trong năm,Năm trước > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,69.588.012,69.588.012,,,,,,69588012.0,69588012.0
Chênh lệch tỷ giá hối đoái,Năm trước > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,(172.105.848),-,-,(172.105.848),,,,-172105848.0,,,-172105848.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Năm trước > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát,-,-,-,-,-,(319.479.088),(319.479.088),,,,,,-319479088.0,-319479088.0
Số cuối năm,Năm trước > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),453.812.960,279.895.303,702.809.115,13.974.368.992,9274679470.0,3263858784.0,-686640.0,453812960.0,279895303.0,702809115.0,13974368992.0
Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,Năm nay,,,,,,,
Số đầu năm,Năm nay > Số đầu năm,Số đầu năm,9.274.679.470,3.263.858.784,(686.640),453.812.960,279.895.303,702.809.115,13.974.368.992,9274679470.0,3263858784.0,-686640.0,453812960.0,279895303.0,702809115.0,13974368992.0
Lợi nhuận thuần trong năm,Năm nay > Lợi nhuận thuần trong năm,Lợi nhuận thuần trong năm,-,-,-,-,-,117.506.769,117.506.769,,,,,,117506769.0,117506769.0
Chênh lệch tỷ giá hối đoái,Năm nay > Chênh lệch tỷ giá hối đoái,Chênh lệch tỷ giá hối đoái,-,-,-,31.424.384,-,-,31.424.384,,,,31424384.0,,,31424384.0
Thủ lao thành viên ban kiểm soát,Năm nay > Thủ lao thành viên ban kiểm soát,Thủ lao thành viên ban kiểm soát,-,-,-,-,-,(1.737.000),(1.737.000),,,,,,-1737000.0,-1737000.0
Phân loại lại,Năm nay > Phân loại lại,Phân loại lại,-,-,-,-,749.460,(749.460),-,,,,,749460.0,-749460.0,
Thanh lý công ty con (TM số 4),Năm nay > Thanh lý công ty con (TM số 4),Thanh lý công ty con (TM số 4),-,-,-,-,-,(426.403.248),(426.403.248),,,,,,-426403248.0,-426403248.0
Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát (*),Năm nay > Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát (*),Giao dịch vốn trong nội bộ Tập đoàn với cổ đông không kiểm soát (*),-,-,-,-,-,(427.861.152),(427.861.152),,,,,,-427861152.0,-427861152.0
Số cuối năm,Năm nay > Số cuối năm,Số cuối năm,9.274.679.470,3.263.858.784,(686.640),485.237.344,280.644.763,(36.434.976),13.267.298.745,9274679470.0,3263858784.0,-686640.0,485237344.0,280644763.0,-36434976.0,13267298745.0
