row_label_raw,row_label_full,Nhóm An Phú,Giao dịch,Số cuối năm,Ngàn VND Số đầu năm,numeric__Giao dịch,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bán hàng hóa,133.665.986,439.883.209,,133665986.0,439883209.0
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Bán tài sản cố định,383.279,-,,383279.0,
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Cung cấp dịch vụ xây dựng,-,18.084.773,,,18084773.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Cung cấp dịch vụ xây dựng,27.595.944,27.595.944,,27595944.0,27595944.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Bán hàng hóa,2.180.959,3.517.833,,2180959.0,3517833.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Bán tài sản cố định,26.006.620,-,,26006620.0,
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Bán hàng hóa và cung cấp dịch vụ,5.210.285,-,,5210285.0,
Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Công ty TNHH Thương mại và Dịch vụ Minh Tuấn,Cung cấp dịch vụ xây dựng,5.501.714,5.774.737,,5501714.0,5774737.0
Các bên liên quan khác,Các bên liên quan khác,Các bên liên quan khác,Bán hàng hóa và cung cấp dịch vụ,-,1.792.743,,,1792743.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,200.544.787,496.649.239,,200544787.0,496649239.0
