row_label_raw,row_label_full,Nhóm An Phú,Lãi suất %/năm,Số cuối năm,Ngàn VND Số đầu năm,numeric__Lãi suất %/năm,numeric__Số cuối năm,numeric__Ngàn VND Số đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,"12,00",3.884.249.304,3.491.345.993,12.0,3884249304.0,3491345993.0
Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,"14,00",1.527.347.311,-,14.0,1527347311.0,
Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,Công ty Cổ phần Xây dựng Huynh Đệ,"10,00",196.731.113,196.731.113,10.0,196731113.0,196731113.0
Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,Công ty Cổ phần Phú Hoàng Anh,"10,00",155.872.977,358.488.312,10.0,155872977.0,358488312.0
Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựng Thanh Bình,"10,00",147.000.000,75.000.000,10.0,147000000.0,75000000.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,"10,00",100.000.000,136.261.796,10.0,100000000.0,136261796.0
Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,Công ty Cổ phần Thương mại Dịch vụ và Xây dựng Phúc Bảo Minh,"10,00",50.000.000,50.000.000,10.0,50000000.0,50000000.0
Công ty TNHH MTV Đại Lộc Hưng Thỉnh,Công ty TNHH MTV Đại Lộc Hưng Thỉnh,Công ty TNHH MTV Đại Lộc Hưng Thỉnh,"13,00",34.714.752,710.000.000,13.0,34714752.0,710000000.0
Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,Công ty Cổ phần Đầu tư Bất động sản An Phú,-,-,1.834.926.927,,,1834926927.0
Công ty Cổ phần Đầu Tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu Tư Sài Gòn Mê Kông,Công ty Cổ phần Đầu Tư Sài Gòn Mê Kông,-,-,381.703.227,,,381703227.0
Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,Công ty TNHH MTV Nguyên vật liệu Hoàng Thơ,-,-,105.110.065,,,105110065.0
Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,Công ty TNHH Thương mại Dịch vụ Minh Tuấn,-,-,75.481.435,,,75481435.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,-,-,20.666.125,,,20666125.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,6.095.915.457,7.435.714.993,,6095915457.0,7435714993.0
