row_label_raw,row_label_full,Thuế giá trị gia tăng,Số đầu năm > 35.251.988,Số tăng trong năm > 2.801.948,Số giảm trong năm > (30.528.961),Ngàn VND Số cuối năm > 7.524.975,numeric__Số đầu năm > 35.251.988,numeric__Số tăng trong năm > 2.801.948,numeric__Số giảm trong năm > (30.528.961),numeric__Ngàn VND Số cuối năm > 7.524.975
Thuế thu nhập doanh nghiệp (TM số 33.1),Thuế thu nhập doanh nghiệp (TM số 33.1),Thuế thu nhập doanh nghiệp (TM số 33.1),84.361.805,887.096,(54.584.465),30.664.436,84361805.0,887096.0,-54584465.0,30664436.0
Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,Thuế thu nhập cá nhân,11.625.323,37.827.141,(39.141.855),10.310.609,11625323.0,37827141.0,-39141855.0,10310609.0
Thuế khác,Thuế khác,Thuế khác,66.975.218,7.958.456,(65.717.171),9.216.503,66975218.0,7958456.0,-65717171.0,9216503.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,198.214.334,49.474.641,(189.972.452),57.716.523,198214334.0,49474641.0,-189972452.0,57716523.0
