row_label_raw,row_label_full,Nhóm An Phú,Nhóm An Phú_1,Lãi suất%/năm,Số cuối năm,Ngàn VNDSố đầu năm,numeric__Nhóm An Phú_1,numeric__Lãi suất%/năm,numeric__Số cuối năm,numeric__Ngàn VNDSố đầu năm
Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,Công ty Cổ phần Chăn nuôi Gia Lai,"12,00",313.312.864,185.994.550,,12.0,313312864.0,185994550.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,"10,00",93.000.000,93.000.000,,10.0,93000000.0,93000000.0
Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,Công ty Cổ phần Gỗ Hoàng Anh Gia Lai,"12,00",82.726.796,-,,12.0,82726796.0,
Công ty Cổ phần Đầu tư Bất động sảnAn Phú,Công ty Cổ phần Đầu tư Bất động sảnAn Phú,Công ty Cổ phần Đầu tư Bất động sảnAn Phú,Công ty Cổ phần Đầu tư Bất động sảnAn Phú,-,-,626.466.204,,,,626466204.0
Công ty TNHH Tư vấn Đầu tư Xây dựngThanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựngThanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựngThanh Bình,Công ty TNHH Tư vấn Đầu tư Xây dựngThanh Bình,-,-,123.299.907,,,,123299907.0
Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,Công ty TNHH MTV Đại Lộc Hưng Thịnh,-,-,61.628.333,,,,61628333.0
TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,489.039.660,1.090.388.994,,,489039660.0,1090388994.0
Các bên liên quan,Các bên liên quan,Các bên liên quan,Mối quan hệ,Giao dịch,Số cuối năm,Ngàn VNDSố đầu năm,,,,
Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),Phải thu ngắn hạn khác (TM số 9),,,,
Nhóm An Phú (*),Phải thu ngắn hạn khác (TM số 9) > Nhóm An Phú (*),Nhóm An Phú (*),Các công tyliên quan,(*),450.594.792,497.088.437,,,450594792.0,497088437.0
Công ty Cổ phần Nông lâmnghiệp Cánh Đồng Vàng,Phải thu ngắn hạn khác (TM số 9) > Công ty Cổ phần Nông lâmnghiệp Cánh Đồng Vàng,Công ty Cổ phần Nông lâmnghiệp Cánh Đồng Vàng,Công tyliên quan,Chi phítrả hộ,3.589.369,-,,,3589369.0,
Công ty TNHH MTVXây lắp điện,Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH MTVXây lắp điện,Công ty TNHH MTVXây lắp điện,Công tyliên quan,Chi phítrả hộ,1.950.431,-,,,1950431.0,
Ông Đoàn Nguyên Đức,Phải thu ngắn hạn khác (TM số 9) > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịchHĐQT,Lãi cho vay,-,33.288.967,,,,33288967.0
Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng (**),Phải thu ngắn hạn khác (TM số 9) > Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng (**),Công ty TNHH MTVPhát triển Nông nghiệpĐại Thắng (**),Công ty con,Cho mượn,-,19.016.297,,,,19016297.0
Ông Phan Thanh Thử,Phải thu ngắn hạn khác (TM số 9) > Ông Phan Thanh Thử,Ông Phan Thanh Thử,Thành viên HĐQT,Tạm ứng,-,1.853.367,,,,1853367.0
Các bên liên quan khác,Phải thu ngắn hạn khác (TM số 9) > Các bên liên quan khác,Các bên liên quan khác,Công tyliên quan,Lãi cho vayvà cho mượn,1.124.357,7.617.537,,,1124357.0,7617537.0
TỔNG CỘNG,Phải thu ngắn hạn khác (TM số 9) > TỔNG CỘNG,TỔNG CỘNG,TỔNG CỘNG,,457.258.949,558.864.605,,,457258949.0,558864605.0
