row_label_raw,row_label_full,Số đầu năm > Phần lãi từ công ty liên kết trong năm,(9.221.394) > 64.840.488,numeric__(9.221.394) > 64.840.488
Thanh lý,Thanh lý,Thanh lý,29.535.071,29535071.0
Lợi nhuận chưa thực hiện được trừ,Lợi nhuận chưa thực hiện được trừ,Lợi nhuận chưa thực hiện được trừ,(10.457.823),-10457823.0
Số cuối năm,Số cuối năm,Số cuối năm,74.696.342,74696342.0
