row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngân VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngân VNDNăm trước
Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công ty Cổ phầnChăn nuôi Gia Lai,Công tyliên quan,Cho vayThu hồi tiền cho vayLãi cho vayCán trừ công nợMua hàng hóa vàdịch vụBán hàng và cungcấp dịch vụ,384.715.112115.727.133441.263.243262.044.83373.686.06323.054.084,2.677.712.456940.262.537301.409.740-289.117.998140.804.073,,,3.8471511211572714e+51,
Công ty Cổ phầnĐầu tư Bất động sảnAn Phú,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú,Công tyliên quan,Thu hồi tiền cho vayCho vay dài hạnLãi cho vayCán trừ công nợ,1.066.130.329-109.683.955196.851.346,816.357.3651.060.273.015256.065.847-,,,,
Ông Đoàn Nguyên Đức,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Ông Đoàn Nguyên Đức,Ông Đoàn Nguyên Đức,Chủ tịchHĐQT,Mượn tiềnTrả tiền mượnVay ngắn hạnVay dài hạnGớp vốn BCCHoàn trả BCCLãi cho vayLãi đi vayCho vayThu hồi tiền cho vay,1.794.900.0001.658.900.000612.995.000129.709.600370.000.000380.395.2442.967.5166.391.1223.920.00024.675.000,----240.000.000-28.909.696-281.009.591,,,1.79490000016589e+84,
Công ty Cổ phầnXây dựng Huynh Độ,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty Cổ phầnXây dựng Huynh Độ,Công ty Cổ phầnXây dựng Huynh Độ,Công tyliên quan,Lãi cho vayCho vay,19.946.349-,14.109.705199.900.328,,,,1.4109705199900328e+16
Công ty Cổ phầnPhú Hoàng Anh,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty Cổ phầnPhú Hoàng Anh,Công ty Cổ phầnPhú Hoàng Anh,Công tyliên quan,Lãi cho vayCho vay,31.112.788-,33.797.024123.872.977,,,,3.3797024123872976e+16
Công ty Cổ phần Lê Me,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty Cổ phần Lê Me,Công ty Cổ phần Lê Me,Công tyliên quan,Cho vay dài hạnThu hồi tiền cho vayLãi cho vay,2.256.438.360729.091.04970.281.828,----,,,2.256438360729091e+26,
Công ty TNHHDịch vụ Nông nghiệpTây Nguyên,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty TNHHDịch vụ Nông nghiệpTây Nguyên,Công ty TNHHDịch vụ Nông nghiệpTây Nguyên,Công tyliên quan,Hoàn trả BCC,129.778.980,-,,,129778980.0,
Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty Cổ phần GỗHoàng Anh Gia Lai,Công ty Cổ phần GỗHoàng Anh Gia Lai,Công tyliên quan,Cho vayLãi cho vayThanh lý tài sânccố định,100.000.00021.758.48726.033.893,-14.839.392-,,,1.0000000021758487e+24,
Công ty TNHHThương mại và Dịch vụMinh Tuấn,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty TNHHThương mại và Dịch vụMinh Tuấn,Công ty TNHHThương mại và Dịch vụMinh Tuấn,Công tyliên quan,Lãi cho vayCho vay dài hạn,5.514.405-,8.012.66668.079.071,,,,801266668079071.0
Công ty TNHH MTVNguyên vật liệuHoàng Thơ,Công ty Cổ phầnĐầu tư Bất động sảnAn Phú > Công ty TNHH MTVNguyên vật liệuHoàng Thơ,Công ty TNHH MTVNguyên vật liệuHoàng Thơ,Công tyliên quan,Thu hồi tiền cho vayLãi cho vay,----,115.917.13411.893.703,,,,1.1591713411893704e+16
