row_label_raw,row_label_full,col_0,Quyền sử dụng đất,"Nhà cửa, vật kiến trúc",Văn phòng cho thuê,Trung tâm thương mại,Ngàn VND Tổng cộng,numeric__Quyền sử dụng đất,"numeric__Nhà cửa, vật kiến trúc",numeric__Văn phòng cho thuê,numeric__Trung tâm thương mại,numeric__Ngàn VND Tổng cộng
Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,Nguyên giá,,,,,
Số đầu năm,Nguyên giá > Số đầu năm,Số đầu năm,27.072.022,17.558.404,2.222.825.169,1.130.596.596,3.398.052.191,27072022.0,17558404.0,2222825169.0,1130596596.0,3398052191.0
Chênh lệch tỷ giá,Nguyên giá > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,58.353.449,29.680.343,88.033.792,,,58353449.0,29680343.0,88033792.0
Thanh lý công ty con,Nguyên giá > Thanh lý công ty con,Thanh lý công ty con,-,(2.557.224),(2.281.178.618),(1.160.276.939),(3.444.012.781),,-2557224.0,-2281178618.0,-1160276939.0,-3444012781.0
Số cuối năm,Nguyên giá > Số cuối năm,Số cuối năm,27.072.022,15.001.180,-,-,42.073.202,27072022.0,15001180.0,,,42073202.0
Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,Giá trị hao mòn lũy kế,,,,,
Số đầu năm,Giá trị hao mòn lũy kế > Số đầu năm,Số đầu năm,(1.478.788),(3.066.599),(111.639.628),(71.802.927),(187.987.942),-1478788.0,-3066599.0,-111639628.0,-71802927.0,-187987942.0
Khấu hao trong năm,Giá trị hao mòn lũy kế > Khấu hao trong năm,Khấu hao trong năm,(739.395),(568.305),(36.170.400),(24.289.186),(61.767.286),-739395.0,-568305.0,-36170400.0,-24289186.0,-61767286.0
Chênh lệch tỷ giá,Giá trị hao mòn lũy kế > Chênh lệch tỷ giá,Chênh lệch tỷ giá,-,-,(2.930.750),(1.884.965),(4.815.715),,,-2930750.0,-1884965.0,-4815715.0
Thanh lý công ty con,Giá trị hao mòn lũy kế > Thanh lý công ty con,Thanh lý công ty con,-,884.688,150.740.778,97.977.078,249.602.544,,884688.0,150740778.0,97977078.0,249602544.0
Số cuối năm,Giá trị hao mòn lũy kế > Số cuối năm,Số cuối năm,(2.218.183),(2.750.216),-,-,(4.968.399),-2218183.0,-2750216.0,,,-4968399.0
Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,Giá trị còn lại,,,,,
Số đầu năm,Giá trị còn lại > Số đầu năm,Số đầu năm,25.593.234,14.491.805,2.111.185.541,1.058.793.669,3.210.064.249,25593234.0,14491805.0,2111185541.0,1058793669.0,3210064249.0
Số cuối năm,Giá trị còn lại > Số cuối năm,Số cuối năm,24.853.839,12.250.964,-,-,37.104.803,24853839.0,12250964.0,,,37104803.0
Trong đó:Tài sản sử dụng để cảm cố/thế chấpcác khoản vay (TM số 24),Giá trị còn lại > Trong đó:Tài sản sử dụng để cảm cố/thế chấpcác khoản vay (TM số 24),Trong đó:Tài sản sử dụng để cảm cố/thế chấpcác khoản vay (TM số 24),24.514.798,12.250.964,-,-,36.765.762,24514798.0,12250964.0,,,36765762.0
