row_label_raw,row_label_full,Các bên liên quan,Mối quan hệ,Giao dịch,Năm nay,Ngân VNDNăm trước,numeric__Mối quan hệ,numeric__Giao dịch,numeric__Năm nay,numeric__Ngân VNDNăm trước
Công ty Cổ phần XâyDựng và Phát TriểnNhà Hoàng Anh,Công ty Cổ phần XâyDựng và Phát TriểnNhà Hoàng Anh,Công ty Cổ phần XâyDựng và Phát TriểnNhà Hoàng Anh,Công ty liên kết,Thu hồi tiền cho vayThu hồi lãi cho vayCho vayLãi cho vay,2.015.741.470148.102.85082.203.0009.005.421,- - -,,,2.015741470148103e+33,
Công ty TNHH Tưvấn Đầu tư Xây dựngThanh Bình,Công ty TNHH Tưvấn Đầu tư Xây dựngThanh Bình,Công ty TNHH Tưvấn Đầu tư Xây dựngThanh Bình,Công ty liên quan,Lãi cho vay,15.269.167,16.661.083,,,15269167.0,16661083.0
Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty TNHH An Tiến,Công ty liên quan,Lãi cho vay,11.103.123,11.363.773,,,11103123.0,11363773.0
Công ty TNHH MTVĐại Lộc Hưng Thịnh,Công ty TNHH MTVĐại Lộc Hưng Thịnh,Công ty TNHH MTVĐại Lộc Hưng Thịnh,Công ty liên quan,Lãi cho vay,5.304.507,8.434.522,,,5304507.0,8434522.0
Công ty Cổ phầnThương mại Dịch vụXây dựng Phúc Bảo Minh,Công ty Cổ phầnThương mại Dịch vụXây dựng Phúc Bảo Minh,Công ty Cổ phầnThương mại Dịch vụXây dựng Phúc Bảo Minh,Công ty liên quan,Lãi cho vay,5.069.444,-,,,5069444.0,
Công ty TNHH MTVPhát triển Nôngnghiệp Thăng Long,Công ty TNHH MTVPhát triển Nôngnghiệp Thăng Long,Công ty TNHH MTVPhát triển Nôngnghiệp Thăng Long,Công ty liên quan,Lãi cho vay,1.565.216,17.019.244,,,1565216.0,17019244.0
Công ty TNHH MTVPhát triển Nôngnghiệp Đại Thắng (*),Công ty TNHH MTVPhát triển Nôngnghiệp Đại Thắng (*),Công ty TNHH MTVPhát triển Nôngnghiệp Đại Thắng (*),Công ty con,Cho mượnMua hàng hóa và dịch vụBán hàng hóa và cung cấp dịch vụ,- - -,398.208.195180.570.73699.243.127,,,,3.982081951805708e+25
Công ty TNHH MTVXây lắp điện,Công ty TNHH MTVXây lắp điện,Công ty TNHH MTVXây lắp điện,Công ty liên quan,Bán hàng hóa và cung cấp dịch vụMua hàng hóa và dịch vụ,- - -,24.564.93817.748.342,,,,2456493817748342.0
Công ty Cổ phầnHưng Thắng LợiGia Lai (*),Công ty Cổ phầnHưng Thắng LợiGia Lai (*),Công ty Cổ phầnHưng Thắng LợiGia Lai (*),Công ty con,VayLãi vay,- - -,30.091.30010.170.174,,,,3009130010170174.0
Bà Trường Thị TrúcThiên Trang,Bà Trường Thị TrúcThiên Trang,Bà Trường Thị TrúcThiên Trang,Bên liên quan,Lãi cho vay,-,7.584.732,,,,7584732.0
